Provincia di vendita,N. Reg. , Prodotto fitosanitario venduto*,"Quantità 
(Kg o litri)"
PD,9843,BASAGRAN SG,609
PD,9872,AKRIS,60
PD,9954,,1491
PD,9954,JOKER,2348.94
PD,10048,KUMULUS TECNO,1225
PD,10117,,1350
PD,10117,STRATOS ULTRA,1063
PD,10118,,141
PD,10118,AMISTAR,134
PD,10142,VERNOIL,40
PD,10161,,54
PD,10161,ORTIVA,143
PD,10175,SPORAMIL R FLOW,287
PD,10220,,1
PD,10220,DICOPUR COMBI,2
PD,10224,,10
PD,10224,EMME-H,20
PD,10226,NOXIS M,2
PD,10230,LUMAPLUS,1.5
PD,10296,,10
PD,10305,,13
PD,10305,OIKOS,55
PD,10306,MISTRAL,581
PD,10350,,123
PD,10350,BLAST SG,603
PD,10357,RIGRON SG,6
PD,10381,,193
PD,10381,CONCORDE 40 EW 1 L,1
PD,10415,,2.5
PD,10415,ARIC 480 L.S.,12.5
PD,10423,LUMACHICIDA VEBI,312
PD,10439,,2
PD,10439,SPRAY DUNGER GLOBAL,11
PD,10440,EXPANDER,24
PD,10461,DICOTURF,0.5
PD,10461,DICOTURF 500 ml,5.5
PD,10479,,99
PD,10479,NATURALIS,202
PD,10560,PIRETRO NATURA,1
PD,10573,,151
PD,10573,KOCIDE 2000,6742
PD,10573,KOCIDE 2000 KG. 10,170
PD,10577,,992
PD,10577,METRIPHAR 70 WG,704.5
PD,10585,,65
PD,10585,SULCOTREK,490
PD,10588,BIOPIREN PLUS,1
PD,10604,,1.25
PD,10604,EMERALD 40 EW,269
PD,10604,EMERALD 40 EW 250 ml,2.5
PD,10627,FRUPICA,7
PD,10632,COBRE NORDOX SUPER 75 WG,326
PD,10671,CUAGRO HI BIO,100
PD,10701,,98.25
PD,10701,CUMETA FLOW,1675.5
PD,10734,,837
PD,10734,DUAL GOLD,2206
PD,10735,,492
PD,10735,PRIMAGRAM GOLD,1038
PD,10741,,83
PD,10741,METACINQUE,794
PD,10771,,956
PD,10771,MOST MICRO,2107
PD,10771,MOST MICRO 1 L,6
PD,10889,AGRIMIX GOLD,2
PD,10890,,25
PD,10890,FLiPPER,65.25
PD,10925,,5
PD,10926,,3
PD,10926,ALTOREX,27
PD,10929,,2.6
PD,10929,CHIKARA 25 WG,12.96
PD,10944,,138
PD,10944,KARATE ZEON,94.5
PD,10948,VITISAN WG,259.5
PD,10952,CARPOVIRUSINE PLUS,2
PD,10976,,248.1
PD,10976,METEOR,704
PD,10999,,562
PD,10999,BETANAL SE,133
PD,11011,,1815
PD,11011,DASH HC,2533
PD,11040,POLTIGLIA BORDOLESE DISPERSS BLU,40
PD,11059,BIOPOWER,156
PD,11062,,4.5
PD,11062,BION 50 WG,8.5
PD,11070,,30840
PD,11088,,55
PD,11088,BION MX,1
PD,11102,,120
PD,11102,HELIOSOUFRE S,60
PD,11107,ECO-TRAP CON. 100,1300
PD,11119,,2
PD,11119,FLINT,196.05
PD,11133,SHELTER,154.05
PD,11147,,117
