DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TYPE_OF_CROP,DESTINATION_WINEGRAPES,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TYPE_OF_CROP_EUCODE,NOTE_TYPE_OF_CROP,NOTE_DESTINATION_WINEGRAPES,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,BEANK,ALL,2026,3918,,,,,P1200_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,BEETANDLEA,ALL,2025,467,,,,,V4300_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,BEETS,ALL,2025,18680,,,,,R2000,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,BERG,ALL,2025,1500,,,,,T9000_I,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,BLACKCURRA,ALL,2025,43,,,,,F3110,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,BROAFIELD,ALL,2025,48423,,,,,P1200_I,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,BROAFIELD,ALL,2026,54296,,,,,P1200_I,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,BROCINOPEN,ALL,2025,10713,,,,,V1900_I,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,BROCINOPEN,ALL,2026,11022,,,,,V1900_I,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,BRUSSPROUTS,ALL,2025,279,,,,,V1200,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,BRUSSPROUTS,ALL,2026,281,,,,,V1200,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,BUBRY,ALL,2025,1496,,,,,F3300,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,BUCKWHEAT,ALL,2025,311,,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,BUCKWHEAT,ALL,2026,429,,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CARO,ALL,2025,5572,,,,,H9000_I,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CARRNDPARS,ALL,2025,10814,,,,,V4100_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CARRNDPARS,ALL,2026,10363,,,,,V4100_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CAULERAND,ALL,2025,14901,,,,,V1100,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CAULERAND,ALL,2026,14509,,,,,V1100,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CDLMS,ALL,2025,35,,,,,T3200,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CDLMS,ALL,2026,35,,,,,T3200,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CEDA,ALL,2025,66,,,,,T9000_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CELEOPENF,ALL,2025,2300,,,,,V2200_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CELERIA,ALL,2025,2,,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CEREAOG_NO_FORAGENR,ALL,2025,22715,,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CEREAOG_NO_FORAGENR,ALL,2026,15792,,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CERFORRLEY,ALL,2025,25241,,,,,G1100_I,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CEROIS,ALL,2025,378014,,,,,G3000,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CHAROPENFI,ALL,2025,2523,,,,,V2900_III,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CHERR,ALL,2025,28852,,,,,F1240,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CHEST,ALL,2025,40628,,,,,F4400,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CHICNOPEN,ALL,2025,10399,,,,,V2700_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CHICNOPEN,ALL,2026,10103,,,,,V2700_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CHICS,ALL,2025,16700,,,,,P9200,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CHICS,ALL,2026,19002,,,,,P9200,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CHIN,ALL,2025,6,,,,,T9000_III,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CICRADIFRE_OPEN,ALL,2025,9947,,,,,V2710_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CICRADIFRE_OPEN,ALL,2026,9834,,,,,V2710_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CICRADITRA_OPEN,ALL,2025,452,,,,,V2720_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CICRADITRA_OPEN,ALL,2026,269,,,,,V2720_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CLEMENTINE,ALL,2025,26827,,,,,T2200,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CLEMENTINE,ALL,2026,27338,,,,,T2200,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,COMMEAT,ALL,2025,511242,,,,,C1110,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,COMMEAT,ALL,2026,531743,,,,,C1110,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,COMMEGRASS,ALL,2025,83748,,,,,G1100_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,COURINOPE,ALL,2025,13112,,,,,V3420_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,COURINOPE,ALL,2026,13707,,,,,V3420_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CRAT,ALL,2025,172,,,,,F3100,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CROPOT,ALL,2025,19,,,,,I2900,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,CUCUINOPE,ALL,2025,1340,,,,,V3200_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,DRIESES,ALL,2025,101673,,,,,G1200_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,EARLATOES,ALL,2025,16016,,,,,R1000_I,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,EARLATOES,ALL,2026,15992,,,,,R1000_I,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ECENEDEDF,ALL,2025,34500,,,,,F1211,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ECENEDEDF,ALL,2026,35102,,,,,F1211,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ECENEDEDFTR,ALL,2025,1652,,,,,F1212,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ECENEDEDFTR,ALL,2026,1642,,,,,F1212,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,EGGINOPE,ALL,2025,8024,,,,,V3410_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,EGGINOPE,ALL,2026,8192,,,,,V3410_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ENDINOPEN,ALL,2025,7932,,,,,V2400_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ENDINOPEN,ALL,2026,8021,,,,,V2400_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ERETNDFOR,ALL,2025,1707,,,,,F1122,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ERETNDFOR,ALL,2026,1881,,,,,F1122,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ERORSHCO,ALL,2025,18234,,,,,F1121,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ERORSHCO,ALL,2026,17851,,,,,F1121,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ETRNSITENDE,ALL,2025,15492,,,,,F1221,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ETRNSITENDE,ALL,2026,15105,,,,,F1221,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ETRNSITENDETR,ALL,2025,1020,,,,,F1222,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ETRNSITENDETR,ALL,2026,1049,,,,,F1222,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,FENNOPENF,ALL,2025,18801,,,,,V4920_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,FENNOPENF,ALL,2026,19010,,,,,V4920_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,FIG,ALL,2025,2143,,,,,F2100,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,FLAX,ALL,2025,486,,,,,I2100,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,FRESADBEAN,ALL,2025,6365,,,,,V5900_I,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,FRESNEYBEA,ALL,2025,16154,,,,,V5200_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,FRESNEYBEA,ALL,2026,15985,,,,,V5200_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,FRSTCZ,ALL,2025,267,,,,,F2900_IV,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,GAEOASINS,ALL,2025,40,,,,,W1300,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,GARLIC,ALL,2025,3247,,,,,V4600,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,GHERIN,ALL,2025,95,,,,,V3300,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,GHERINOPEN,ALL,2025,95,,,,,V3300_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,GLOBICHOKE,ALL,2025,35867,,,,,V2800,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,GLOBICHOKE,ALL,2026,34970,,,,,V2800,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,GOOSEBERRI,ALL,2025,6,,,,,F3910,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,GRAM,ALL,2025,94969,,,,,G1200_I,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,GRAPEDOPWINE,ALL,2025,354666,,,,,W1110,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,GRAPEIGPWINE,ALL,2025,191303,,,,,W1120,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,GROU,ALL,2025,151,,,,,I1910,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,HAZEL,ALL,2025,95470,,,,,F4200,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,HAZEL,ALL,2026,95698,,,,,F4200,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,HEMP,ALL,2025,513,,,,,I2200,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,HOPS,ALL,2025,63,,,,,I4000,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,HTABG,ALL,2025,2913,,,,,V1310,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,HTABG,ALL,2026,2548,,,,,V1310,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ITRSOYEAN,ALL,2025,3893,,,,,C1200,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ITRSOYEAN,ALL,2026,3502,,,,,C1200,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,JAPAMEDLAR,ALL,2025,471,,,,,F1290_I,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,KIWI,ALL,2025,24693,,,,,F2200,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,KIWI,ALL,2026,24651,,,,,F2200,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,LEEKOPENFI,ALL,2025,705,,,,,V2100,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,LEGMIX,ALL,2025,6124,,,,,G2920,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,LEMLIME,ALL,2025,26329,,,,,T3000,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,LEMLIME,ALL,2026,26573,,,,,T3000,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,LEMON,ALL,2025,26294,,,,,T3100,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,LEMON,ALL,2026,26538,,,,,T3100,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,LENTIL,ALL,2025,5109,,,,,P9100,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,LENTIL,ALL,2026,5121,,,,,P9100,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,LETTNOPEN,ALL,2025,13833,,,,,V2300_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,LETTNOPEN,ALL,2026,14990,,,,,V2300_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,LNSOITERC,ALL,2025,294,,,,,C1220,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,LNSOITERC,ALL,2026,113,,,,,C1220,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,LOTU,ALL,2025,2923,,,,,F2900_I,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,LUCERNE,ALL,2025,660488,,,,,G2100,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,LUPIN,ALL,2025,1195,,,,,P1300,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,LUPIN,ALL,2026,2101,,,,,P1300,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,LVRADBENDS,ALL,2025,31836,,,,,G2910,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,MAIZE,ALL,2025,540945,,,,,C1500,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,MAIZE,ALL,2026,530296,,,,,C1500,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,MANDAR,ALL,2025,8933,,,,,T2910_I,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,MANDAR,ALL,2026,8876,,,,,T2910_I,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,MEDLAR,ALL,2025,95,,,,,F1190_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,MELOOPENFI,ALL,2025,24802,,,,,V3510_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,MELOOPENFI,ALL,2026,25016,,,,,V3510_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,MIXEPORARY,ALL,2025,394445,,,,,G2900_IV,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,MXSOASANDS,ALL,2025,98189,,,,,C1400,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,MXSOASANDS,ALL,2026,91289,,,,,C1400,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,NECTA,ALL,2025,16512,,,,,F1220,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,NECTA,ALL,2026,16154,,,,,F1220,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OATS,ALL,2025,98092,,,,,C1410,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OATS,ALL,2026,91289,,,,,C1410,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OFTP,ALL,2025,81365,,,,,V3120,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OFTP,ALL,2026,90105,,,,,V3120,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OFTTOT,ALL,2025,17253,,,,,V3110,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OFTTOT,ALL,2026,17201,,,,,V3110,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OHRIBRID,ALL,2025,86,,,,,T2910_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OHRIBRID,ALL,2026,84,,,,,T2910_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OHROAGS,ALL,2025,3439,,,,,T1900,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OHROAGS,ALL,2026,7593,,,,,T1900,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OHROIE,ALL,2025,1067000,,,,,O1900,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OHROIEOIL,ALL,2025,4,,,,,O1990,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OLIVO,ALL,2025,1066996,,,,,O1910,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OLIVT,ALL,2025,40789,,,,,O1100,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OLIVTAB_OIL,ALL,2025,1107789,,,,,O1000,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OLIVTAB_OIL,ALL,2026,1109392,,,,,O1000,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ONIOOPENF,ALL,2025,12271,,,,,V4210,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ONIOOPENF,ALL,2026,12373,,,,,V4210,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ORANGE,ALL,2025,85566,,,,,T1000,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ORANGE,ALL,2026,84127,,,,,T1000,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ORCERE,ALL,2025,232,,,,,F1241,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ORCERE,ALL,2026,218,,,,,F1241,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OTHAGRBCC,ALL,2025,10,,,,,T9000_VI,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OTHALEAFSNOB,ALL,2025,830,,,,,V2900_IV,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OTHBROCI,ALL,2025,4247,,,,,V1900_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OTHBROCI,ALL,2026,1756,,,,,V1900_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OTHEEHERBA,ALL,2025,289305,,,,,G1100_III,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OTHEETEMPO,ALL,2025,55725,,,,,G2990,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OTHETFRUITNOR,ALL,2025,267,,,,,F3900_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OTHETURES,ALL,2025,279210,,,,,G1200_III,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OTHEZINGS,ALL,2025,954635,,,,,J2100,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OTHFRELPULS,ALL,2025,6392,,,,,V5900,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OTHFRELPULSNF,ALL,2025,27,,,,,V5900_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OTHGRENOCER,ALL,2025,9783,,,,,G9900,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OTHGRPURP,ALL,2025,4282,,,,,W1900,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OTHGRWINODI,ALL,2025,148364,,,,,W1190,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OTHNUTSOPI,ALL,2025,99,,,,,F4910_I,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OTHOLNOSES,ALL,2025,1236,,,,,I1190_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,OTHPOMAFRUNOQM,ALL,2025,5,,,,,F1190_III,,,,,,
