PRODUCT,CATEGORY,CURRENT_ADAMA_CATALOG,PAGE_URL,REGISTRATION_ID,ROPF_MATCH,CROPS,ISSUES,ACTIVE_SUBSTANCES,LABEL,SDS,TECH_SHEET,OTHER_DOCS,DOCUMENT_COUNT,STORAGE_COUNT,HASH_VERIFIED,LAST_PUBLIC_DOC_DATE,NOTES
COTTONEX 50 SC,CONTROL_DE_MALAS_HIERBAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/cottonex-50-sc,15454,MATCHED_EXACT,ALGODONERO; HORTÍCOLAS; MAÍZ,"Dicotiledóneas, malas hierbas de hoja ancha; MALAS HIERBAS",Fluometuron,1,1,0,0,2,2,2,NÃO SEI,
COTTONEX NEOPRO,CONTROL_DE_MALAS_HIERBAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/cottonex-neopro,24583,MATCHED_EXACT,ALGODONERO; HORTÍCOLAS; MAÍZ,"Dicotiledóneas, malas hierbas de hoja ancha; MALAS HIERBAS",Fluometuron; Terbutilazina,1,1,0,1,3,2,2,NÃO SEI,
CUPROXI FLO,CONTROL_DE_ENFERMEDADES,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/cuprofixi-flo,19232,MATCHED_WITH_EVIDENCE,ALCACHOFA; ALMENDRO; BERENJENA; BRÉCOL; CHALOTE; COLIFLOR; CUCURBITÁCEAS; CÍTRICOS; FRESAL; FRUTALES DE HUESO; FRUTALES DE PEPITA; LECHUGA Y SIMILARES; LEGUMINOSAS; LEÑOSAS; NOGAL; OLIVO; ORNAMENTALES HERBÁCEAS; PATATA; PIMIENTO; PUERRO; TOMATE,MALAS HIERBAS,Oxicloruro de cobre,1,1,0,1,3,3,3,NÃO SEI,
DIODE 100,CONTROL_DE_MALAS_HIERBAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/diode,ES-01677,MATCHED_EXACT,MAÍZ DULCE; SORGO,"Dicotiledóneas, malas hierbas de hoja ancha; MALAS HIERBAS",Mesotriona,1,1,0,0,2,2,2,NÃO SEI,
DISCOVERY,CONTROL_DE_MALAS_HIERBAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/discovery,ES-00711,MATCHED_EXACT,ALMENDRO; AVELLANO; Aceitunas; CASTAÑO; CEBOLLA; CHALOTE; CÍTRICOS; FRUTALES DE HUESO; FRUTALES DE PEPITA; GIRASOL; HORTÍCOLAS; MANZANO; MAÍZ; Malva; NOGAL; OLIVO; PERAL; Pepinillos; Verdolagas; Árbol de la nuez de macadamia,"Dicotiledóneas, malas hierbas de hoja ancha",Fluroxipir,1,1,0,2,4,4,4,NÃO SEI,
ELEGANT,CONTROL_DE_MALAS_HIERBAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/elegant,ES-00198,MATCHED_EXACT,CEBADA; HORTÍCOLAS; MAÍZ; TRIGO; TRITORDEUM,"Dicotiledóneas, malas hierbas de hoja ancha; MALAS HIERBAS",Florasulam,1,1,0,0,2,2,2,NÃO SEI,
FADEUS,CONTROL_DE_PLAGAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-plagas/fadeus,25.454,ADAMA_SITE_ONLY,ALGODONERO; MAÍZ DULCE; PATATA,"LEPIDÓPTEROS; MALAS HIERBAS; ÁFIDOS, PULGONES, APHIDIDAE",Lambda Cihalotrin; Clorantraniliprol,1,1,0,1,3,2,2,NÃO SEI,
FOLPAN 80WDG,CONTROL_DE_ENFERMEDADES,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/folpan-80wg,19994,MATCHED_EXACT,CEREZO; FRUTALES DE PEPITA; JUDÍA VERDE; LECHUGA; PATATA; TOMATE; VID DE MESA; VID DE VINIFICACIÓN,MALAS HIERBAS,Folpet,1,1,0,0,2,2,2,NÃO SEI,
FOLPAN GOLD,CONTROL_DE_ENFERMEDADES,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/folpan-gold,24397,MATCHED_EXACT,PATATA,"MALAS HIERBAS; Mildiu de la vid, Plasmopara viticola",Folpet; Metalaxil-M,1,1,0,0,2,2,2,NÃO SEI,
GARMIL,CONTROL_DE_ENFERMEDADES,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/garmil,21.714,ADAMA_SITE_ONLY,LECHUGA; MELOCOTONERO; OLIVO; PATATA; TOMATE,"MALAS HIERBAS; Repilo del olivo, Venturia oleaginea",Ciprodinil; Fludioxonil,1,1,0,0,2,2,2,NÃO SEI,
GOLTIX 700 SC,CONTROL_DE_MALAS_HIERBAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/goltix,22478,MATCHED_EXACT,HORTÍCOLAS; MAÍZ; REMOLACHA AZUCARERA; REMOLACHA FORRAJERA,"Dicotiledóneas, malas hierbas de hoja ancha; MALAS HIERBAS",Metamitrona,1,1,0,0,2,2,2,NÃO SEI,
GOLTIX SILVER,CONTROL_DE_MALAS_HIERBAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/goltix-silver,ES-01603,MATCHED_EXACT,NOT_COLLECTED,MALAS HIERBAS,Metamitrona; Quinmerac,1,1,0,0,2,2,2,NÃO SEI,
GOLTIX UNO,CONTROL_DE_MALAS_HIERBAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/goltix-uno,ES-00564,MATCHED_EXACT,ACELGA; Cilantro; ESPINACA; HORTÍCOLAS; MAÍZ,"Dicotiledóneas, malas hierbas de hoja ancha; MALAS HIERBAS",Metamitrona; Etofumesato,1,1,0,1,3,2,2,NÃO SEI,
HERBOLEX,CONTROL_DE_MALAS_HIERBAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/herbolex,ES-00742,MATCHED_EXACT,ACEQUIAS; CAMINOS; CANALES DE RIEGO; CORTAFUEGOS; HERBÁCEAS EXTENSIVAS; HERBÁCEAS INTENSIVAS; HORTÍCOLAS; LEÑOSAS; LINDEROS; MAÍZ; MÁRGENES DE CULTIVOS,"Dicotiledóneas, malas hierbas de hoja ancha; MALAS HIERBAS",Glifosato,1,1,0,0,2,2,2,NÃO SEI,
HIGHCARD,CONTROL_DE_MALAS_HIERBAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/highcard,ES-01876,MATCHED_EXACT,ARROZ; HORTÍCOLAS; MAÍZ,"Dicotiledóneas, malas hierbas de hoja ancha; Monocotiledóneas, malas hierbas de hoja estrecha; Pies de gallina, Echinochloa spp.",Quizalofop-p-etil,1,1,0,0,2,2,2,NÃO SEI,
KAMPAI,CONTROL_DE_MALAS_HIERBAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/kampai,ES-01209,ADAMA_SITE_ONLY,CEBADA; CENTENO; COLZA; GIRASOL; HORTÍCOLAS; MAÍZ; REMOLACHA AZUCARERA; SOJA; SORGO; TRIGO,"Dicotiledóneas, malas hierbas de hoja ancha; Monocotiledóneas, malas hierbas de hoja estrecha; VALLICO, LOLIUM RIGIDUM",FLORASULAM; FLUROXIPIR-MEPTYL; PINOXADEN,1,1,0,2,4,4,4,NÃO SEI,
KENDO,CONTROL_DE_PLAGAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-plagas/kendo,24942,MATCHED_EXACT,"ALCACHOFA; ALFALFA; ALGODONERO; ALMENDRO; APIONABO; AVELLANO; BARBAREA; BERENJENA; BERRO, MASTUERZO; BRÉCOL; CALABACÍN; CANÓNIGO; CAQUI; CEBADA; CEBOLLA; CENTENO; CEREZO; CHALOTE; COL DE BRUSELAS; COLIFLOR; COLZA; CUCURBITÁCEAS; CÍTRICOS; ERIALES; ESCAROLA; ESPINACA; FRESAL; FRUTALES DE HUESO; FRUTALES DE PEPITA; GRANADO; GROSELLERO; GUISANTE VERDE; HABA VERDE; JUDÍA VERDE; LECHUGA; LEGUMINOSAS DE GRANO; MAÍZ; OLIVO; ORNAMENTALES HERBÁCEAS; PATATA; PEPINILLO; PEPINO; PIMIENTO; REMOLACHA AZUCARERA; REPOLLO; RÁBANO; RÚCULA; TOMATE; TRIGO","LEPIDÓPTEROS; MALAS HIERBAS; ÁFIDOS, PULGONES, APHIDIDAE",NOT_COLLECTED,1,1,0,0,2,2,2,NÃO SEI,
KLARTAN EW,CONTROL_DE_PLAGAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-plagas/klartan-ew,23.858,MATCHED_WITH_EVIDENCE,"ALCACHOFA; ALFALFA; ALGODONERO; ARBUSTOS Y PEQUEÑOS ÁRBOLES ORNAMENTALES; AVENA; BATATA, BONIATO; BERENJENA; BRÉCOL; CEBADA; CENTENO; CEREZO; COL DE BRUSELAS; COLIFLOR; COLZA; CÍTRICOS; FRUTALES DE HUESO; FRUTALES DE PEPITA; GIRASOL; GUISANTE VERDE; HABA VERDE; JUDÍA VERDE; LECHUGA Y SIMILARES; LEGUMINOSAS DE GRANO; ORNAMENTALES HERBÁCEAS; PATATA; REPOLLO; TRIGO; TRITICALE","Coccinélidos, Coccinellidae; LEPIDÓPTEROS; MALAS HIERBAS; TRIPS; ÁFIDOS, PULGONES, APHIDIDAE",Tau-fluvalinato,1,1,0,2,4,4,4,NÃO SEI,
KONA,CONTROL_DE_ENFERMEDADES,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/kona,25186,ADAMA_SITE_ONLY,"ACELGA; ACHICORIA (HOJAS); ALCACHOFA; BERRO, MASTUERZO; BRÉCOL; CALABACÍN; CANÓNIGO; COLIFLOR; ESCAROLA; ESPINACA; LECHUGA; MELÓN; MOSTAZA CHINA; PATATA; PEREJIL; RÚCULA; TOMATE","Achicoria, Cichorium intybus; MALAS HIERBAS; Verdolaga, Portulaca oleracea",MANDIPROPAMID,1,1,0,0,2,2,2,NÃO SEI,
LAMDEX EXTRA,CONTROL_DE_PLAGAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-plagas/lamdex-extra,17091,MATCHED_EXACT,"ALFALFA; ALMENDRO; APIONABO; AVELLANO; AVENA; BARBAREA; BERRO, MASTUERZO; BRÉCOL; CALABACÍN; CANÓNIGO; CEBADA; CENTENO; CEREZO; COLIFLOR; COLZA; CUCURBITÁCEAS; Coles de Bruselas; CÍTRICOS; ESCAROLA; ESPINACA; FRESAL; FRUTALES DE HUESO; FRUTALES DE PEPITA; GROSELLERO; GUISANTE VERDE; JUDÍA VERDE; LECHUGA; LEGUMINOSAS DE GRANO; LÚPULO; MAÍZ; NARANJO; OLIVO; ORNAMENTALES HERBÁCEAS; PATATA; PEPINILLO; PEPINO; PLATANERA; REMOLACHA AZUCARERA; REPOLLO; RÁBANO; RÚCULA; TORONJA, POMELO; TRIGO; TRITICALE; TRITORDEUM","LEPIDÓPTEROS; MALAS HIERBAS; ÁFIDOS, PULGONES, APHIDIDAE",Lambda Cihalotrin,1,1,0,1,3,2,2,NÃO SEI,
LEBRON,CONTROL_DE_PLAGAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-plagas/lebron,17502,MATCHED_EXACT,ALGODONERO; APIO; BERENJENA; COLINABO; GIRASOL; GUISANTE VERDE; HABA VERDE; JUDÍA VERDE; LECHUGA Y SIMILARES; MAÍZ; MELÓN; NABO; REMOLACHA AZUCARERA; RÁBANO; SANDÍA; SOJA; SORGO; TABACO; TOMATE; ZANAHORIA,"Coleópteros; Diabrótica del maíz, Diabrotica virgifera; Dípteros; Gusanos grises, rosquillas, Agrotis spp.; LEPIDÓPTEROS; MALAS HIERBAS; MIRIÁPODOS; Maripaca de la remolacha, Aubeonymus mariaefranciscae; ORTÓPTEROS; ÁFIDOS, PULGONES, APHIDIDAE",NOT_COLLECTED,1,1,0,2,4,4,4,NÃO SEI,
LEGACY PLUS,CONTROL_DE_MALAS_HIERBAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/legacy-plus,24004,MATCHED_EXACT,CEBADA; HORTÍCOLAS; MAÍZ; TRIGO,"Dicotiledóneas, malas hierbas de hoja ancha; MALAS HIERBAS",Clortoluron; Diflufenican,1,1,0,0,2,2,2,NÃO SEI,
MAVITA 250 EC,CONTROL_DE_ENFERMEDADES,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/mavita250,18767,ADAMA_SITE_ONLY,ALMENDRO; PATATA,MALAS HIERBAS,Difenoconazol,1,1,0,1,3,2,2,NÃO SEI,
MERPAN 80WG,CONTROL_DE_ENFERMEDADES,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/merpan-80wg,13188,MATCHED_EXACT,ALBARICOQUERO; CEREZO; CIRUELO; FRESAL; FRUTALES DE HUESO; FRUTALES DE PEPITA; MELOCOTONERO; PATATA; TOMATE,"Abolladura, lepra, Taphrina spp.; Alternaria, mancha de la hoja de la zanahoria, Alternaria dauci; Antracnosis, Colletotrichum gloeosporioides; Cribado, perdigonado, Wilsonomyces carpophilus; MALAS HIERBAS; MONILIA, MONILINIA SPP.; Moteado, cribado del cerezo,Venturia cerasi",Captan,1,1,0,0,2,2,2,NÃO SEI,
METENAL,CONTROL_DE_PLAGAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-plagas/metenal,12469,MATCHED_EXACT,"ALCACHOFA; ALTRAMUZ; AVENA; Albahaca; BATATA, BONIATO; BERENJENA; CALABACÍN; CALABAZA; CAQUI; CEBADA; CEBOLLA; CENTENO; CHALOTE; COLIFLOR; COLZA; Coles de Bruselas; ESPINACA; ESPÁRRAGO; Estragón; FRUTALES DE CÁSCARA; FRUTALES DE PEPITA; GIRASOL; Ginseng; Hojas de apio; LECHUGA Y SIMILARES; LEGUMINOSAS DE GRANO; LEGUMINOSAS FORRAJERAS; Laurel; OLEAGINOSAS; Okra, quimbombo; PEPINILLO; PEPINO; PEREJIL; PIMIENTO; PUERRO; REMOLACHA AZUCARERA; REMOLACHA FORRAJERA; REPOLLO; Regaliz; Romero; RÁBANO; SANDÍA; SOJA; SORGO; Salvia; TOMATE; TRIGO; TRITICALE; TRITORDEUM; Tomillo; Valeriana; ZANAHORIA","Achicoria, Cichorium intybus; Cardo, Cirsium arvense; LEPIDÓPTEROS; MALAS HIERBAS; ÁFIDOS, PULGONES, APHIDIDAE",Metaldehído,1,1,0,0,2,2,2,NÃO SEI,
MIRADOR,CONTROL_DE_ENFERMEDADES,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/mirador,22000,ADAMA_SITE_ONLY,"ADORMIDERA; ALCACHOFA; ALTRAMUZ; APIO; APIONABO; ARROZ; AVENA; Albahaca; BERENJENA; BERZA , COL; BRÉCOL; CALABACÍN; CALABAZA; CAQUI; CEBADA; CEBOLLA; CEBOLLETA; CENTENO; CHALOTE; CHIRIVÍA; COLIFLOR; COLINABO; COLZA; Cardos; Coles de Bruselas; ESPÁRRAGO; FRAMBUESO; GUISANTE PARA GRANO; GUISANTE VERDE; JUDÍA PARA GRANO; JUDÍA VERDE; LECHUGA Y SIMILARES; LEÑOSAS; MAÍZ; MELÓN; NABO; ORNAMENTALES HERBÁCEAS; PATATA; PEPINILLO; PEPINO; PEREJIL; PIMIENTO; PUERRO; REPOLLO; RÁBANO; SANDÍA; Salsifíes; TOMATE; TRIGO; TRITICALE; ZANAHORIA",MALAS HIERBAS,Azoxistrobin,1,1,0,1,3,2,2,NÃO SEI,
NEPTUNE,CONTROL_DE_ENFERMEDADES,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/neptune,ES-00211,MATCHED_EXACT,MANZANAS; OLIVO; PATATA,"Abolladura, lepra, Taphrina spp.; Aceituna jabonosa, antracnosis, Glomerella cingulata; MALAS HIERBAS; Repilo del olivo, Venturia oleaginea",Oxicloruro de cobre; Tebuconazol,1,1,0,1,3,3,3,NÃO SEI,
NICOPERTS,CONTROL_DE_MALAS_HIERBAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/nicoperts,24.887,MATCHED_WITH_EVIDENCE,HORTÍCOLAS; MAÍZ,"Dicotiledóneas, malas hierbas de hoja ancha; MALAS HIERBAS",Nicosulfuron,1,1,0,0,2,2,2,NÃO SEI,
NIKITA,CONTROL_DE_MALAS_HIERBAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/nikita,ES-00474,MATCHED_EXACT,HORTÍCOLAS; MAÍZ,"Dicotiledóneas, malas hierbas de hoja ancha; MALAS HIERBAS",Dicamba; Mesotriona; Nicosulfuron,1,1,0,1,3,2,2,NÃO SEI,
NIMROD QUATTRO,CONTROL_DE_ENFERMEDADES,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/nimrod-quattro,13261,MATCHED_EXACT,ALBARICOQUERO; ARBUSTOS Y PEQUEÑOS ÁRBOLES ORNAMENTALES; BERENJENA; CALABACÍN; CALABAZA; CONÍFERAS; CUCURBITÁCEAS; FRAMBUESO; FRESAL; FRONDOSAS; GROSELLERO; MANZANO; MELOCOTONERO; MELÓN; PALMERA DATILERA; PALMÁCEAS; PATATA; PEPINO; PIMIENTO; ROSALES; SANDÍA; TOMATE; VID DE MESA; VID DE VINIFICACIÓN,"MALAS HIERBAS; OÍDIO, PODOSPHAERA FULIGINEA",Bupirimato,1,1,0,2,4,4,4,NÃO SEI,
ORDAGO CAPS,CONTROL_DE_MALAS_HIERBAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/ordago-caps,ES-00499,MATCHED_EXACT,ALCACHOFA; ALMENDRO; ARBUSTOS Y PEQUEÑOS ÁRBOLES ORNAMENTALES; AVELLANO; BERENJENA; CASTAÑO; CEBOLLA; CHALOTE; CHOPOS Y ÁLAMOS; COL DE BRUSELAS; COLIFLOR; CONÍFERAS; Coles de Bruselas; CÉSPEDES; CÍTRICOS; ENDIBIA; ESCAROLA; ESPECIES VEGETALES; FRESAL; FRONDOSAS; FRUTALES DE HUESO; FRUTALES DE PEPITA; GIRASOL; HORTÍCOLAS; LECHUGA; LEGUMINOSAS DE GRANO; LEGUMINOSAS FORRAJERAS; LEGUMINOSAS VERDES (FRESCAS); MAÍZ DULCE; MELÓN; NOGAL; PALMERA DATILERA; PALMÁCEAS; PATATA; PIMIENTO; PISTACHERO; PUERRO; REPOLLO; SOJA; TABACO; TOMATE; ZANAHORIA,"Dicotiledóneas, malas hierbas de hoja ancha; GRAMÍNEAS ANUALES; Monocotiledóneas, malas hierbas de hoja estrecha",Pendimetalina,1,1,0,1,3,3,3,NÃO SEI,
ORDAGO SC,CONTROL_DE_MALAS_HIERBAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/ordago-sc,25551,MATCHED_EXACT,"ALCACHOFA; ALGODONERO; ALMENDRO; ALTRAMUZ; APIO; AVELLANO; BATATA, BONIATO; BERENJENA; BRÉCOL; CAQUI; CASTAÑO; CEBADA; CEBOLLA; CEBOLLETA; CHALOTE; COL DE BRUSELAS; COLIFLOR; COLZA; CÍTRICOS; Cártamo; FRESAL; FRUTALES DE HUESO; FRUTALES DE PEPITA; GARBANZO; GIRASOL; GUISANTE PARA GRANO; GUISANTE VERDE; HABA PARA GRANO; HABA VERDE; HORTÍCOLAS; JUDÍA VERDE; LEGUMINOSAS FORRAJERAS; MAÍZ; MIJO; NOGAL; PATATA; PIMIENTO; PUERRO; REPOLLO; SOJA; SORGO; TABACO","Dicotiledóneas, malas hierbas de hoja ancha; MALAS HIERBAS",Pendimetalina,1,1,0,0,2,2,2,NÃO SEI,
ORISOS,CONTROL_DE_ENFERMEDADES,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/orisos,16.633,ADAMA_SITE_ONLY,ALBARICOQUERO; BERENJENA; CALABACÍN; CALABAZA; FRESAL; FRUTALES DE PEPITA; MELOCOTONERO; MELÓN; PATATA; PEPINILLO; PEPINO; PIMIENTO; SANDÍA; TOMATE,MALAS HIERBAS,PENCONAZOL,1,1,0,1,3,2,2,NÃO SEI,
