SOURCE_ID;ESTADO;SOURCE_NAME;SOURCE_OWNER;COUNTRY;TERRITORY;URL;VERDICT;EVIDENCE_PATH;NO_ATLAS_CORRENTE;IRMAOS_MESMA_FONTE;N_REGISTOS;N_VERSOES;ONDE;N_CITACOES;FIRST_ASSIGNMENT_COMMIT;FIRST_ASSIGNMENT_DATE;FIRST_ASSIGNMENT_BRANCH;FIRST_ASSIGNMENT_FILE;FIRST_ASSIGNMENT_SOURCE;DIVERGENCIAS
ES-T7-003;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;4;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-004;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;4;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-005;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;4;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-006;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;4;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-007;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;4;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-008;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;4;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-009;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;4;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-010;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;4;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-011;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;4;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-012;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;0;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-013;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;0;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-014;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;0;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-015;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;0;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-016;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;0;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-017;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;0;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-018;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;0;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-019;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;0;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-020;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;0;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-021;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;4;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-022;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;4;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-023;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;4;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-024;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;4;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
