DATAFLOW,FREQ: Frequency,REF_AREA: Territory,DATA_TYPE: Indicator,TYPE_OF_CROP: Type of crop,PLANT_PROTECTION_PROD: Plant protection products and active ingredients,NUMBER_PHYTOS_TREAT: Number of phytosanitary treatments,LEVEL_OF_TOXICITY: Level of toxicity,TIME_PERIOD: Time,OBS_VALUE,OBS_STATUS: Observation status,NOTE_DS: Dataset note,NOTE_REF_AREA: Territory,NOTE_DATA_TYPE: Indicator,NOTE_TYPE_OF_CROP: Type of crop,NOTE_PLANT_PROTECTION_PROD: Plant protection products and active ingredients,NOTE_NUMBER_PHYTOS_TREAT: Number of phytosanitary treatments,NOTE_LEVEL_OF_TOXICITY: Level of toxicity,NOTE_TIME_PERIOD: Time,BASE_PER: Base year,UNIT_MEAS: Measure unit,UNIT_MULT: Multiplication unit
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,ALL: all items,2018,53728599,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,ALL: all items,2019,49346973,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,ALL: all items,2020,54938568,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,ALL: all items,2021,54781599,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,ALL: all items,2022,49134767,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,ALL: all items,2023,39477332,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,ALL: all items,2024,44648118,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,HARM: harmful,2015,16800810,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,HARM: harmful,2016,14951009,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,HARM: harmful,2017,14094582,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,HARM: harmful,2018,13927844,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,HARM: harmful,2019,11670479,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,HARM: harmful,2020,13859316,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,HARM: harmful,2021,11529685,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,HARM: harmful,2022,5829639,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,HARM: harmful,2023,9281836,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,HARM: harmful,2024,9034974,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,NC: not classifiable,2015,49061999,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,NC: not classifiable,2016,45201940,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,NC: not classifiable,2017,39665151,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,NC: not classifiable,2018,39118738,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,NC: not classifiable,2019,35562545,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,NC: not classifiable,2020,39878456,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,NC: not classifiable,2021,42263840,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,NC: not classifiable,2022,42416845,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,NC: not classifiable,2023,27159249,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,NC: not classifiable,2024,34148114,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,TOX: very toxic or toxic,2015,3674711,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,TOX: very toxic or toxic,2016,861548,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,TOX: very toxic or toxic,2017,777038,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,TOX: very toxic or toxic,2018,682017,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,TOX: very toxic or toxic,2019,2113949,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,TOX: very toxic or toxic,2020,1200796,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,TOX: very toxic or toxic,2021,988074,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,TOX: very toxic or toxic,2022,888283,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,TOX: very toxic or toxic,2023,3036247,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,TOX: very toxic or toxic,2024,1465030,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,HER: herbicides,TOT: total,ALL: all items,2015,23254720,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,HER: herbicides,TOT: total,ALL: all items,2016,22636072,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,HER: herbicides,TOT: total,ALL: all items,2017,21066452,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,HER: herbicides,TOT: total,ALL: all items,2018,20258139,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,HER: herbicides,TOT: total,ALL: all items,2019,20558814,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,HER: herbicides,TOT: total,ALL: all items,2020,25565683,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,HER: herbicides,TOT: total,ALL: all items,2021,20641032,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,HER: herbicides,TOT: total,ALL: all items,2022,15784666,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,HER: herbicides,TOT: total,ALL: all items,2023,17175182,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,HER: herbicides,TOT: total,ALL: all items,2024,15265121,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,HER: herbicides,TOT: total,HARM: harmful,2015,3478870,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,HER: herbicides,TOT: total,HARM: harmful,2016,2649424,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,HER: herbicides,TOT: total,HARM: harmful,2017,2786744,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,HER: herbicides,TOT: total,HARM: harmful,2018,2225458,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,HER: herbicides,TOT: total,HARM: harmful,2019,2137479,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,HER: herbicides,TOT: total,HARM: harmful,2020,3244511,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,HER: herbicides,TOT: total,HARM: harmful,2021,3178304,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,HER: herbicides,TOT: total,HARM: harmful,2022,1737115,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,HER: herbicides,TOT: total,HARM: harmful,2023,1274126,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,HER: herbicides,TOT: total,HARM: harmful,2024,1098659,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,HER: herbicides,TOT: total,NC: not classifiable,2015,19134623,,,,,,,,,,,,
