"Prodotti fitosanitari venduti nell'anno 2022
(fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2022, art. 16 D.Lgs 150/2012)";;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
BL;10771;MOST MICRO;961
BL;10839;LUMAKIDIN ESCA;22
BL;10926;ALTOREX;1
BL;10976;METEOR PFnPE;19,67
BL;11070;TIOGOLD DISPERSS;30
BL;11119;FLINT;0,5
BL;11133;SHELTER;1
BL;11253;CALLISTO;5
BL;11257;COSTAR WG;2,25
BL;11341;STARANE GOLD;5
BL;11449;GARDOPRIM GOLD;2.150,00
BL;11525;FUNGIDINA 400 SC;1
BL;11561;NEEMAZAL T/S;2,16
BL;11648;AZACTIVA PFnPE;0,5
BL;11694;CONSERVE SC;0,06
BL;11694;CONSERVE SC PFnPE;0,1
BL;11852;SEVEN;66
BL;11852;SEVEN PFnPE;269,28
BL;11870;CUPRITAL S.D.I.;20,5
BL;12020;SUCCESS;1,04
BL;12020;SUCCESS PFnPE;31,94
BL;12043;PREVICUR ENERGY PFnPE;0,2
BL;12048;TIOSOL 80 WG;2
BL;12114;AUXIGER LG PFnPE;0,7
BL;12172;FERRAMOL;19
BL;12172;FERRAMOL PFnPE;6
BL;12225;TEPPEKI PFnPE;0,01
BL;12315;ORTIVA HOBBY;0,15
BL;12526;ALIETTE ORTO E GIARDINO PFnPE;5,25
BL;12534;FOXTAIL;0,1
BL;12534;FOXTAIL PFnPE;6,85
BL;12566;PYGANIC 1.4;0,33
BL;12566;PYGANIC 1.4 PFnPE;1,56
BL;12590;DIASTAR MAXI;390
BL;12671;HARMONY 50 SX;0,14
BL;12692;SPRUZIT INSETTICIDA;4,75
BL;12722;OSSICLOR 20 FLOW;1,25
BL;12722;OSSICLOR 20 FLOW PFnPE;0,5
BL;12759;OSSICLOR 35 WG;38,8
BL;12759;OSSICLOR 35 WG PFnPE;13,2
BL;12847;EAGLE;3,56
BL;12859;BORNEO;0,18
BL;12859;BORNEO PFnPE;0,1
BL;12878;FOLPAN GOLD;1
BL;12886;KARATHANE STAR;2
BL;13020;MICRORAM 35 WG;108,5
BL;13020;MICRORAM 35 WG PFnPE;48,7
BL;13062;DiPel DF PFnPE;0,14
BL;13084;TELDOR PLUS PFnPE;0,3
BL;13098;ROUNDUP POWER 2.0 PFnPE;2,5
BL;13149;POLTIGLIA MANICA 20 WG;156
BL;13149;POLTIGLIA MANICA 20 WG PFnPE;76,5
BL;13160;FORUM TOP;15
BL;13168;LAUDIS;1
BL;13213;R6 ERRESEI ALBIS;6
BL;13242;NICOGAN V.O.;127
BL;13263;BORDORAM 20 WG;30,9
BL;13290;ZOLFO MANICA DOPPIO RAFFINATO VENTILATO RAMATO 3% NEW;20
BL;13323;SULFY 80 WDG;0,8
BL;13323;SULFY 80 WDG PFnPE;0,2
BL;13324;CUPRIZOL S PFnPE;3
BL;13382;PERGADO SC;3
BL;13389;AFFIRM;1
BL;13466;SPOTLIGHT PLUS;8
BL;13468;CLINER;0,3
BL;13468;CLINER PFnPE;0,25
BL;13540;QUASAR R FLOW;10
BL;13552;ZOLVIS 80 SECTOR PFnPE;19,5
BL;13576;RAMEPLANT WG;3,5
BL;13586;VERDERAME 20 WG;6,5
BL;13586;VERDERAME 20 WG PFnPE;12
BL;13635;POLTIGLIA 20 PB MANICA;24
BL;13635;POLTIGLIA 20 PB MANICA PFnPE;9
BL;13693;BACILLUS CHEMIA;2
BL;13693;BACILLUS CHEMIA PFnPE;0,3
BL;13741;SELECTA DISPERSS;5
BL;13791;GEATER-STAR;57,5
BL;13791;GEATER-STAR PFnPE;115
BL;13809;FORCE ULTRA;3.230,00
BL;13815;TUTOR 18-15 PFnPE;34,5
BL;13981;CORAGEN;0,3
BL;13998;PYRUS 400 SC;0,3
BL;14058;FEINZIN 70 DF;29,75
BL;14154;PIRETRO ACTIGREEN;2,42
BL;14154;PIRETRO ACTIGREEN PFnPE;5,14
BL;14210;EVURE PRO;1
BL;14257;UNDERLINE 0,2 G;38
BL;14257;UNDERLINE 0,2 G PFnPE;95,5
BL;14262;GREENEX NF PFnPE;1,63
BL;14363;U 46 GIARDEN PFnPO;1,5
BL;14407;RUNWAY;1
BL;14414;DUSTY PFnPE;18
BL;14547;BAC MK PFnPE;5
BL;14636;BIOLID UP;87,4
BL;14636;BIOLID UP PFnPE;46
BL;14642;RIDOMIL GOLD R WG;55
BL;14737;ROUNDUP PLATINUM;49
BL;14739;DELTAM PROTECT PFnPE;203
BL;14812;ENERVIN TOP;15
BL;14836;BARBARIAN BIOGRADE 360 PFnPE;12
BL;14879;LONTREL 72 SG;0,15
BL;14891;TRICO;22,5
BL;14891;TRICO PFnPE;85
BL;14919;EMERALD 125;1,24
BL;14919;EMERALD 125 PFnPE;0,17
BL;14947;TRUSTEE 450;359
BL;14970;POLYSECT ULTRA SL;16,22
BL;15013;NATRIA LUMACHICIDA;24
BL;15013;NATRIA LUMACHICIDA PFnPE;209
BL;15019;RIVIERA;2
BL;15047;R6 ERRESEI BORDEAUX WG;7
BL;15051;KYLEO;700
BL;15058;PRINCIPAL MAIS;3,96
BL;15059;DECIS EVO;9
BL;15096;GLIPHOGAN TOP CL;917,5
BL;15096;GLIPHOGAN TOP CL PFnPE;636
BL;15142;ALCANCE SYNC TEC;228
BL;15201;FLOXY 400 SC;1
BL;15213;DEMETRINA FLOW;12,91
BL;15213;DEMETRINA FLOW PFnPE;9,14
BL;15235;MOMENTUM;3
BL;15251;AIRONE LIQUIDO;10
BL;15253;FALCON MK;67
BL;15291;TURFENE PLUS;2
BL;15291;TURFENE PLUS PFnPE;5,4
BL;15297;HERBISTOP PRONTO USO GIARDINO (PFnPE);31,5
BL;15326;CUPROTEK DISPERSS;20
BL;15331;ZEFIR 25 WDG;2
BL;15363;MEDEIRO 80 WG ADVANCE PFnPE;6
BL;15401;TAIFUN MK CL;715
BL;15401;TAIFUN MK CL PFnPE;50,5
BL;15405;SHAMAL MK PLUS CL;19,5
BL;15405;SHAMAL MK PLUS CL PFnPE;132,5
BL;15449;CIDELY;3
BL;15514;CUPRAVIT BLU 35 WG;2,6
BL;15514;CUPRAVIT BLU 35 WG PFnPE;70
BL;15612;SEMPRA;0,45
BL;15621;BOTTO 50 EC;0
BL;15621;BOTTO 50 EC PFnPE;1,5
BL;15668;GHIBLI 240 OD;14,25
BL;15725;DUAXO;1,36
BL;15751;VITENE TRIPLO R;8,02
BL;15751;VITENE TRIPLO R PFnPE;57,5
BL;15898;FILAL WG;1
BL;15898;FILAL WG PFnPE;3
BL;15990;SCIROCCO 125 EW PFnPE;1,2
BL;16051;LENNS PFnPE;50
BL;16055;KENPYR;6,24
BL;16098;NIBER 70 DF;1,5
BL;16104;ELECTIS TRIO WDG PFnPE;63,5
BL;16197;COPPERFIELD 17 WG;20
BL;16285;KALIMBA;1
BL;16299;PASSAT SL;10
BL;16315;RADAR HP PFnPE;0,5
BL;16325;EPIK SL;37,72
BL;16325;EPIK SL PFnPE;6,5
BL;16335;LIETO SC;105
BL;16381;CALLICORE;100
BL;16399;DELTAM 15 EW HOBBY PFnPE;86,41
BL;16434;OLIOCIN NATRIA;24
BL;16434;OLIOCIN NATRIA PFnPE;11
BL;16470;COLUMBO 0.8 MG;11
BL;16470;COLUMBO 0.8 MG PFnPE;195,6
BL;16562;DELAN PRO;5
BL;16565;EXECUTIVE GOLD;0,7
BL;16578;MELODY COMPACT WG;4
BL;16596;SANIUM SL25 PFnPE;9,8
BL;16598;SANIUM AL PFnPE;10,4
BL;16630;NATUREN LIMEX;0,45
BL;16657;CENTURY PRO;10
BL;16667;REVOLUTION;1
BL;16787;CLINIC ST;100
BL;16843;COPPERLAND NEW;10
BL;16886;CLOSER;0,12
BL;16886;CLOSER PFnPE;2,51
BL;16897;KATOUN GOLD;80
BL;16901;BELOUKHA GARDEN;16,6
BL;16945;SERCADIS;0,3
BL;16976;VITIKAPPA;15
BL;16976;VITIKAPPA PFnPE;19,9
BL;17038;TUAREG NEW;75
BL;17116;ACTIVUS ME;1
BL;17217;ARMICARB SPRAY;9
BL;17248;ZORVEC VINABEL;2
BL;17317;NABUCCO;2
BL;17360;MAGO;1
BL;17377;REFINE SX;0,09
BL;17920;GHIBLI TM;426
PD;13;;8.210,00
PD;13;THIOPRON;24.570,00
PD;133;U 46 D-FLUID;11
PD;206;ALBENE;3
PD;362;;31
PD;362;TREND 90;54
PD;599;ACUPRICO 76 WG;200
PD;747;;40
PD;747;ZOLFO SPRUZZABILE;210
PD;909;;2.325,00
PD;909;POLISOLFURO DI CALCIO POLISENIO;1.550,00
PD;1156;;2.418,00
PD;1156;CHEMOL;6.851,00
PD;1156;CHEMOL 1 L;3
PD;1156;CHEMOL PFnPE;10
PD;1562;;18
PD;1573;;1.260,00
PD;1573;BASAMID GRANULAT;40
PD;1583;;5.542,00
PD;1583;MICROTHIOL DISPERSS;19.605,00
PD;1583;MICROTHIOL DISPERSS 1 KG;4
PD;1583;MICROTHIOL DISPERSS 15 KG;390
PD;1850;IDRORAME FLOW;59
PD;1850;IDRORAME FLOW PFnPE;19,5
PD;1903;SULFURENE;50
PD;1936;;1.150,00
PD;1936;LIQUIZOL M;290
PD;1947;SULFUR 80;12
PD;2191;;36
PD;2191;WETTING PLUS;371
PD;2260;GASTROTOX E;60
PD;2291;;58
PD;2291;ESCA REGINA N;48
PD;2291;ESCA REGINA N PFnPE;2.423,50
PD;2307;;375
PD;2307;VECTOR;1.388,00
PD;2353;;289
PD;2353;BONALAN;360
PD;2518;ACTELLIC 2/P;430
PD;2525;LUMACID AGRO;60
PD;2732;;830
PD;2732;GOLTIX;1.278,00
PD;2923;;25.430,00
PD;2923;TIOVIT JET;9.351,00
PD;2934;MICROSOL 90;30
PD;2934;MICROSOL 90 PFnPE;7
PD;2940;LIMACIDE PELLETS PFnPE;4,5
PD;2995;;19
PD;2995;ESCARTOX;8
PD;2995;ESCARTOX PFnPE;5,5
PD;3065;;34,5
PD;3065;OLIOCIN PFnPE;2
PD;3102;;13,5
PD;3102;OLEOTER;340,5
PD;3102;OLEOTER PFnPE;496,3
PD;3132;SEPR-OIL PFnPE;46,5
PD;3163;;4
PD;3163;U 46 M STAR;154
PD;3182;;35
PD;3219;CARAKOL AGRO;6
PD;3343;;70
PD;3343;U46 M CLASS;85
PD;3412;;4
PD;3412;SYLLIT 65;11
PD;3486;TRISCABOL DG;56
PD;3503;AGRUMIN;121
PD;3519;;60
PD;3519;METAMBANE;46
PD;3553;CURZATE;18
PD;3640;;1.800,00
PD;3640;CUPROSTAR;589
PD;3767;;388
PD;3767;FENOXILENE 200;1.054,00
PD;3817;;373
PD;3817;DISERBONE KN;72
PD;4264;;22
PD;4701;;2
PD;4701;PIRIMOR 50;12
PD;4710;;175
PD;4710;ALIETTE;926
PD;4710;ALIETTE PFnPE;2,25
PD;4896;RIGENAL P PFnPE;2,7
PD;5053;ACTELLIC 5;5.070,00
PD;5152;;30
PD;5152;TIOSPOR WG;2.284,00
PD;5282;GIBAIFAR;1
PD;5292;FIXORMON;61
PD;5299;MIBIOL;6
PD;5414;RADICANTE POLVERE TALEE LEGNOSE;3,6
PD;5414;RADICANTE POLVERE TALEE LEGNOSE PFnPE;3,1
PD;5574;;34
PD;5574;LUMAKIDIN 5G;899
PD;5574;LUMAKIDIN 5G PFnPE;42
PD;6001;;30
PD;6001;BETAFIL FL;5
PD;6136;;12
PD;6136;GERMON L;208
PD;6321;;31
PD;6321;STIMOLANTE 66F;15
PD;6321;STIMOLANTE 66F PFnPE;0,3
PD;6322;;3
PD;6322;OBSTHORMON 24A;10
PD;6389;;0,35
PD;6389;DUECI-FITO RADICANTE PFnPE;2,05
PD;6437;;6
PD;6437;ETHREL;15
PD;6438;BI-FEN;39
PD;6505;;0,25
PD;6555;K-OBIOL ULV 6;24.180,00
PD;6556;;62
PD;6556;K-OBIOL DP2;1.191,00
PD;6557;;5
PD;6557;K-OBIOL EC 25;4.106,00
PD;6704;TIOLENE 80 WG;50
PD;6751;;3
PD;6751;RASEN FLORANID PFnPE;3
PD;6771;;1.510,00
PD;6834;TEPETA COMBI FLOW;10
PD;6873;IDRORAME 193;130
PD;6945;;13
PD;6945;TOPAS 10 EC;44,5
PD;6956;;30
PD;6956;TARGA FLO;25
PD;7020;;34
PD;7020;BAGNANTE CIFO;20
PD;7053;;234
PD;7053;PASTA CAFFARO NC;244
PD;7055;;17,5
PD;7055;PASTA CAFFARO BLU;4,5
PD;7055;PASTA CAFFARO BLU PFnPE;15
PD;7368;;11
PD;7368;TURFENE L;12
PD;7368;TURFENE L PFnPE;14,5
PD;7379;;56,5
PD;7379;VENZAR;71,4
PD;7401;POLTIGLIA CAFFARO 20 DF NEW;42
PD;7483;;2
PD;7483;DEVRINOL F;26
PD;7534;ROYAL MH;60
PD;7541;;17,75
PD;7541;APOLLO SC;1,5
PD;7541;APOLLO SC PFnPE;13,7
PD;7541;APOLLO SC PFnPE 50 ml;0,7
PD;7700;;23,8
PD;7700;MATACAR FL;29,8
PD;7736;ZOLFO SCORREVOLE TRIVENTILATO 95% S;4.200,00
PD;7741;ZOLFO DOPPIO VENTILATO SCORREVOLE 5;50
PD;7764;TIOLENE PFnPE;4,5
PD;7876;PIRIMOR 17,5;7
PD;7911;AIRONE EXTRA;1.020,00
PD;7916;;6.581,00
PD;7916;POLYRAM DF;11.886,00
PD;7919;;3.993,00
PD;7919;TOUCHDOWN;2.211,00
PD;7922;OPALENE FLUID;203
PD;7922;OPALENE FLUID PFnPE;29,5
PD;7930;;281
PD;7930;KERB FLO;687
PD;7961;;2
PD;7961;RIZOLEX  GOLD;46
PD;8001;;10
PD;8028;;1.264,00
PD;8102;;387
PD;8102;MERPAN 80 WDG;1.620,00
PD;8146;;74,5
PD;8146;GALLERY;47
PD;8184;;362
PD;8184;CHALLENGE;258
PD;8229;BOLAS SC;0,85
PD;8259;;103
PD;8259;LAMDEX EXTRA;864
PD;8320;;2
PD;8320;DELFIN;4
PD;8376;;367
PD;8376;ARIANE II;150
PD;8382;ROUNDUP BIOFLOW PFnPE;3
PD;8498;;57
PD;8498;FOLICUR WG;83,5
PD;8542;;10
PD;8542;FORUM 50 WP;181,4
PD;8546;DANITRON;1
PD;8558;PIRETRO VERDE;62,5
PD;8558;PIRETRO VERDE PFnPE;40,25
PD;8558;PIRETRO VERDE PFnPE 50 ml;0,75
PD;8558;PIRETRO VERDE PFnPE 500 ml;2
PD;8599;;1.337,00
PD;8601;;363
PD;8601;FOLPAN 80 WDG;4.631,00
PD;8617;;46
PD;8617;BANVEL 480 S;83
PD;8656;;900
PD;8656;GLIFENE HP;556
PD;8656;GLIFENE HP PFnPE;864
PD;8706;;7
PD;8706;AMID THIN W;13
PD;8711;ALLEGANTE 2% AF 96;2
PD;8712;;3
PD;8712;ALLEGANTE 4% AF 96;8
PD;8735;;280
PD;8735;TREBON UP;612,5
PD;8795;;105
PD;8795;VERTIMEC EC;158,25
PD;8795;VERTIMEC EC 1 L;2
PD;8797;BINAL PRO;11
PD;8801;;63,25
PD;8801;SCORE 25 EC;418,75
PD;8836;MIMIC;39
PD;8838;;0,5
PD;8874;;255
PD;8874;ETOFUM - FL;41
PD;8882;;10
PD;8886;;13,32
PD;8886;SAFARI;16,68
PD;8888;PRIDE ULTRA;10
PD;8899;ZOLFO VENTILATO RAMATO 5%;150
PD;8929;;27
PD;8934;;2
PD;8934;SCALA;141,9
PD;9005;;872
PD;9005;AGIL;3.208,00
PD;9010;;60
PD;9010;RAMEZIN COMBI WG;210
PD;9012;;240
PD;9012;CUPROCAFFARO MICRO;683
PD;9041;;14.220,00
PD;9041;TIOFLOW 57;250
PD;9061;;52
PD;9061;PANTOPUR MC;21
PD;9126;;8
PD;9126;CONCORDE COMBI;16
PD;9126;CONCORDE COMBI PFnPE;8,5
PD;9210;;15
PD;9210;QUADRIS;609
PD;9244;;1.270,00
PD;9244;ZIRAMIT 76 WG;640
PD;9267;ROYALTAC N;100
PD;9286;;12
PD;9286;OHAYO;11
PD;9318;FANDANGO 360;5
PD;9342;;45
PD;9342;DELTRIN PFnPE;228
PD;9371;;0,16
PD;9373;;8
PD;9373;CHORUS;43
PD;9410;SUMICIDIN ECHO;6
PD;9411;;8,3
PD;9411;RADIP ORMON;0,3
PD;9411;RADIP ORMON PFnPE;7,8
PD;9420;OSSIRAM 70 FLOW;10
PD;9422;;196
PD;9422;EVADE;744,5
PD;9422;EVADE 1 L;15
PD;9448;RIFLE 3-18 R BLU;23
PD;9449;EMERALD COMBI;11
PD;9449;EMERALD COMBI 1 kg;1
PD;9449;EMERALD COMBI PFnPE;3,5
PD;9509;PROMALIN NT;22,5
PD;9569;ZETARAM 3B FL;83
PD;9575;;6
PD;9575;DRIBBLING 240 EC;8
PD;9578;;490,75
PD;9578;SWITCH;473,8
PD;9612;OSSICLOR 30;368
PD;9631;;4
PD;9631;METRIN EC;177
PD;9634;;364
PD;9634;CARNIVAL RIO;14
PD;9634;CARNIVAL RIO 1 L;1
PD;9668;;0,01
PD;9668;RUFAST E-FLO;211,9
PD;9679;;273
PD;9679;KRISTAL 32 WG;538
PD;9693;SPORTAK 45 EW;100
PD;9695;;7
PD;9705;;56
PD;9705;PREVITER;34,2
PD;9705;PREVITER PFnPE;3
PD;9723;;2.150,00
PD;9723;DE-SPROUT N;120
PD;9724;;40
PD;9724;TIOWETTING DF;2.726,00
PD;9724;TIOWETTING DF PFnPE;3,5
PD;9744;;35
PD;9744;SCORE 10 WG;8
PD;9757;;121
PD;9757;SPYRALE;176
PD;9787;MICROBAGNABILE WG;13
PD;9790;;350
PD;9790;CONTATTO 320;139
PD;9800;;302
PD;9800;MAVRIK SMART;420
PD;9809;;178
PD;9809;MALVIN 80 WG;105
PD;9843;;231
PD;9843;BASAGRAN SG;345
PD;9872;;20
PD;9872;AKRIS;145
PD;9954;;1.811,00
PD;9954;JOKER;3.044,00
PD;10005;SCOTTS WEEDCONTROL PFnPE;23
PD;10029;;0,7
PD;10029;KING PFnPE;2,3
PD;10048;;1.800,00
PD;10048;KUMULUS TECNO;1.100,00
PD;10105;;4,25
PD;10105;RIDOMIL GOLD SL;3
PD;10117;;1.008,00
PD;10117;STRATOS ULTRA;1.337,00
PD;10118;;100
PD;10118;AMISTAR;58
PD;10127;DECIS JET PFnPE;3,4
PD;10142;VERNOIL;100
PD;10161;;59
PD;10161;ORTIVA;365,3
PD;10175;SPORAMIL R FLOW;235
PD;10220;DICOPUR COMBI;27
PD;10224;;680
PD;10224;EMME-H;10
PD;10226;NOXIS M;16
PD;10230;LUMAPLUS;39,5
PD;10263;;1
PD;10296;;667
PD;10305;;3,05
PD;10305;OIKOS;357,48
PD;10305;OIKOS PFnPE;14,23
PD;10306;;4
PD;10306;MISTRAL;141
PD;10350;;447
PD;10350;BLAST SG;223,6
PD;10357;RIGRON SG;54
PD;10381;;5,75
PD;10381;CONCORDE 40 EW;13,7
PD;10381;CONCORDE 40 EW PFnPE;26,3
PD;10381;CONCORDE 40 EW PFnPE 25 ml;0,08
PD;10381;CONCORDE 40 EW PFnPE 250 ml;6
PD;10415;;12
PD;10415;ARIC 480 L.S.;168,5
PD;10439;;2
PD;10439;SPRAY DUNGER GLOBAL;3
PD;10440;EXPANDER;66
PD;10456;KLARO ULTRA;12
PD;10461;;57
PD;10461;DICOTURF PFnPE;206,5
PD;10461;DICOTURF PFnPE 500 ml;61,5
PD;10479;;181
PD;10479;NATURALIS;159
PD;10509;;265
PD;10560;PIRETRO NATURA;32
PD;10563;ACOIDAL PFnPE;20
PD;10573;;90
PD;10573;KOCIDE 2000;1.520,00
PD;10577;;798,5
PD;10577;METRIPHAR 70 WG;187,5
PD;10581;CITRIN EC;4,8
PD;10585;;635
PD;10585;SULCOTREK;1.100,90
PD;10588;BIOPIREN PLUS;10
PD;10589;FLORA VERDE PFnPE;5,02
PD;10604;;263,37
PD;10604;EMERALD 40 EW;461,85
PD;10604;EMERALD 40 EW 1 L;1
PD;10604;EMERALD 40 EW PFnPE;210,54
PD;10604;EMERALD 40 EW PFnPE 250 ml;5,75
PD;10604;EMERALD 40 EW PFnPE 50 ml;0,85
PD;10627;FRUPICA;4
PD;10632;;5
PD;10632;COBRE NORDOX SUPER 75 WG;189
PD;10632;COBRE NORDOX SUPER 75 WG PFnPE;2,5
PD;10647;;19
PD;10647;DINAPIC;25
PD;10701;;194,75
PD;10701;CUMETA FLOW;760
PD;10701;CUMETA FLOW PFnPE;65,5
PD;10710;;1
PD;10734;;2.726,00
PD;10734;DUAL GOLD;2.458,00
PD;10735;;1.370,00
PD;10735;PRIMAGRAM GOLD;2.326,00
PD;10741;;108
PD;10741;METACINQUE;15
PD;10741;METACINQUE PFnPE;90
PD;10752;;43,25
PD;10752;STEWARD;47,25
PD;10771;;857
PD;10771;MOST MICRO;815
PD;10839;LUMAKIDIN ESCA;60
PD;10839;LUMAKIDIN PFnPO;204
PD;10889;AGRIMIX GOLD;2
PD;10890;;105
PD;10890;FLiPPER;26,2
PD;10890;FLiPPER PFnPE;7,8
PD;10890;FLiPPER PFnPE 200 ml;1,2
PD;10890;FLiPPER PFnPE 50 ml;0,4
PD;10925;;1
PD;10926;;6
PD;10926;ALTOREX;16
PD;10929;;1,15
PD;10929;CHIKARA 25 WG;23,1
PD;10944;;205,25
PD;10944;KARATE ZEON;95,25
PD;10976;;1.652,48
PD;10976;METEOR;638,75
PD;10976;METEOR PFnPE;422,33
PD;10999;;138
PD;10999;BETANAL SE;298
PD;11011;;1.883,00
PD;11011;DASH HC;1.793,00
PD;11044;TUREX;13
PD;11059;;62
PD;11059;BIOPOWER;12
PD;11062;;4,5
PD;11062;BION 50 WG;0,5
PD;11070;;17.770,00
PD;11088;;1
PD;11088;BION MX;3
PD;11102;;20
PD;11102;HELIOSOUFRE S;11
PD;11107;ECO-TRAP;700
PD;11119;;46,6
PD;11119;FLINT;108,55
PD;11133;;33,5
PD;11133;SHELTER;154
PD;11165;;77
PD;11173;;710,75
PD;11173;AVAUNT EC;479,9
PD;11183;PROGERBALIN LG;39,5
PD;11196;SULFAR;80
PD;11206;;762,5
PD;11206;CODACIDE;2.901,00
PD;11212;BATKUR;5
PD;11231;MICOSPOR 80 WDG;20
PD;11243;;3.563,00
PD;11243;LEOPARD 5 EC;3.433,00
PD;11253;;198
PD;11253;CALLISTO;424
PD;11257;;127,5
PD;11257;COSTAR WG;20,25
PD;11258;;85
PD;11258;FAZOR STAR;590
PD;11303;;440
PD;11303;CHAMP DP;90
PD;11341;;216
PD;11341;STARANE GOLD;863
PD;11353;;368
PD;11353;FUSILADE MAX;159
PD;11393;;32
PD;11393;BEETLE;199
PD;11393;BEETLE 0,25 LT;0,75
PD;11393;BEETLE 1 LT;10
PD;11402;;550
PD;11402;MELODY COMBI;110
PD;11416;;26
PD;11416;OVIPRON TOP;30
PD;11435;FLORANET;109
PD;11448;;1
PD;11449;;19.420,00
PD;11449;GARDOPRIM GOLD;110
PD;11479;BRANCHER DIRADO;43
PD;11497;;101
PD;11497;CRITTOVIT WG;1.100,00
PD;11499;BUSTER;1
PD;11505;;231
PD;11505;READY GERMIPLUS;199
PD;11523;SEPRADINA 400 SC;10
PD;11525;FUNGIDINA 400 SC;1
PD;11526;;278
PD;11526;SULTAN;747
PD;11551;ISOMATE C PLUS;0,08
PD;11561;;24,19
PD;11561;NEEMAZAL T/S;14,44
PD;11561;NEEMAZAL T/S PFNPE;1,19
PD;11569;;60
PD;11569;CUPROXAT S.D.I.;1.268,00
PD;11611;;30
PD;11611;VYDATE 10L;50
PD;11619;TIOFLOR WDG;402
PD;11637;CUPROFIX C DISPERSS;20
PD;11642;PIKAR;2
PD;11648;AZACTIVA;1,65
PD;11648;AZACTIVA PFnPE;12,4
PD;11649;;187
PD;11649;COMMAND 36 CS;179
PD;11654;VERIN;29
PD;11660;SHOGUN;1
PD;11678;ACTELLIC 2/P NEWPHARM;343
PD;11687;ACTELLIC 5 NEWPHARM;4.455,00
PD;11690;;3
PD;11693;;55,95
PD;11693;LASER;61,45
PD;11693;LASER PFnPE 100 ml;0,2
PD;11694;;0,37
PD;11694;CONSERVE SC;0,23
PD;11694;CONSERVE SC PFnPE;12,36
PD;11711;MEXIRAM HI BIO;30
PD;11760;;1.400,00
PD;11760;POLITHIOL;2.920,00
PD;11762;FORUM STAR;350
PD;11767;BIG MAIS;107
PD;11779;KOP-TWIN;551
PD;11786;;4,08
PD;11786;AQ 10 WG;4,07
PD;11793;;13
PD;11793;XENTARI WG;26
PD;11794;PRESSING 500;0,75
PD;11802;;35
PD;11802;TETRACAP 80 DG;45
PD;11814;;7
PD;11814;SPADA 200 EC;394
PD;11852;SEVEN PFnPE;168
PD;11857;MIDAURIL COMBI;257
PD;11872;RIFLE 3-18-R;71
PD;11908;VENTUREX 400 SC;66
PD;11944;;440
PD;11944;ASPECT;710
PD;11979;BORDO 20 MICRO;3
PD;11979;BORDO 20 MICRO PFnPE;14,5
PD;11991;;2
PD;11991;NEEMIK TEN;49
PD;11999;;80
PD;12010;;10
PD;12010;TUAREG;107
PD;12020;;10,36
PD;12020;SUCCESS PFnPE;9,25
PD;12020;SUCCESS PFnPE 10 ml;0,11
PD;12020;SUCCESS PFnPE 50 ml;1,4
PD;12030;PROCLOFLASH;380
PD;12037;;760
PD;12037;CAMIX;50
PD;12041;;552
PD;12041;MARTOS;15
PD;12043;;67,85
PD;12043;PREVICUR ENERGY;31
PD;12043;PREVICUR ENERGY PFnPE;0,65
