Provincia di vendita,N. Reg. , Prodotto fitosanitario venduto*,"Quantità 
(Kg o litri)"
BL,12940,KARATE ZEON 1.5,1
BL,13012,FOLVIT 80 WDG,77
BL,13149,POLTIGLIA MANICA 20 WG,23
BL,13150,CURAME 25 WG,7
BL,13213,R6 ERRESEI ALBIS,1
BL,13242,NICOGAN V.O.,2
BL,13253,PLAYER SC,15
BL,13382,PERGADO SC,24
BL,13389,AFFIRM,21
BL,13466,SPOTLIGHT PLUS,8
BL,13635,POLTIGLIA 20 PB MANICA,1
BL,13771,NIMROD 250 EW,12
BL,13809,FORCE ULTRA,6240
BL,13888,FANTIC F NC WG,10
BL,13981,CORAGEN,3
BL,14058,FEINZIN 70 DF,0.25
BL,14062,ZOXIUM 240 SC,6
BL,14154,PIRETRO ACTIGREEN,13
BL,14165,NANDO MAXI,86
BL,14214,RAPSAN 500 SC,5
BL,14262,GREENEX NF,0.25
BL,14407,RUNWAY,1.5
BL,14479,SCHERMO 0.5 G,9
BL,14636,BIOLID UP,17.7
BL,14642,RIDOMIL GOLD R WG,45
BL,14830,CUPROFIX ULTRA DISPERSS,5
BL,14891,TRICO,10
BL,15013,NATRIA LUMACHICIDA,42
BL,15059,DECIS EVO,16
BL,15096,GLIPHOGAN TOP CL,13
BL,15142,ALCANCE SYNC TEC,280
BL,15201,FLOXY 400 SC,3
BL,15213,DEMETRINA FLOW,1.55
BL,15233,DALET TRIO,3
BL,15253,FALCON MK,98
BL,15263,DYNALI,4
BL,15264,ENERVIN SC,9
BL,15326,CUPROTEK DISPERSS,30
BL,15331,ZEFIR 25 WDG,1.5
BL,15337,EXPRESS,0.8
BL,15363,MEDEIRO 80 WG ADVANCE,2
BL,15384,LUNA EXPERIENCE,1
BL,15401,TAIFUN MK CL,505
BL,15449,CIDELY,5
BL,15494,DELSTAR,1
BL,15514,CUPRAVIT BLU 35 WG,5
BL,15543,LUMACHICIDA FER PFnPE,431
BL,15566,VISION PLUS,40
BL,15612,SEMPRA,1.2
BL,15635,ADENGO XTRA,398.5
BL,15712,SATELITE,270
BL,15901,ERCOLE,86
BL,15930,TOMIRIS 125 EW,6
BL,16076,SOLIS,2
BL,16197,COPPERFIELD 17 WG,20
BL,16221,MADEX TOP,0.5
BL,16273,SIVANTO PRIME,13
BL,16295,RAPAX AS,4
BL,16315,RADAR HP,10
BL,16325,EPIK SL,36.5
BL,16335,LIETO SC,43
BL,16364,BISMARK,2
BL,16379,PREV-AM PLUS,10
BL,16381,CALLICORE,60
BL,16416,FENOTRIX 300 SC,3
BL,16425,LASER 120 SC,2
BL,16442,PROFILER,40
BL,16480,3LOGY,20
BL,16481,CALLISTO 480,60.6
BL,16562,DELAN PRO,80
BL,16565,EXECUTIVE GOLD,0.8
BL,16596,SANIUM SL25 PFnPE,1.39
BL,16598,SANIUM AL PFnPE,100
BL,16609,SAVIAL FORTE,25
BL,16618,COLZA POWER PFnPE,10.33
BL,16630,NATUREN LIMEX PFnPE,547.1
BL,16657,CENTURY PRO,30
BL,16667,REVOLUTION,2
BL,16690,KESTREL,8.5
BL,16774,ISOMATE C LR MAX TT,4
BL,16790,NORDOX ENERGY,40
BL,16842,CUPRAVIT BIO ADVANCED,4
BL,16886,CLOSER,7
BL,16897,KATOUN GOLD,30
BL,16945,SERCADIS,15.9
BL,16946,DARAMUN,1
BL,16957,ZORVEC VINABRIA,9
BL,16976,VITIKAPPA,15
BL,17038,TUAREG NEW,133
BL,17217,ARMICARB SPRAY PFnPE,99.75
BL,17296,TARLYS,12
BL,17317,NABUCCO,1
BL,17360,MAGO,18
BL,17422,ENVITA SC,24
BL,17435,RIDOMIL GOLD COMBI WG,12
BL,17454,ENCARIT,202
BL,17532,CONTENDER PLUS,8
BL,17573,BOLTEX F,72
BL,17642,BUSSOLA WG BLU,12
BL,17665,PYRUS PRO,4
BL,17826,DOMARK 125 PLUS,12
BL,17920,GHIBLI TM,370
BL,18019,RASIKAL GREEN PFNPE,14
BL,18074,ROUNDUP FUTURE,157
BL,18137,REVYSION,6
BL,18139,IRONITE PFNPE,270
BL,18149,EXITUL,2
BL,18158,PAPYRUS GOLD,26
BL,18172,MIKONOS EVO,90
BL,18213,BACILLUS CHEMIA PFnPE,4.9
BL,18214,ROMEO PFnPE,0.15
BL,18216,VITIKAPPA PFnPE,13.9
BL,18222,FERRAMOL PFnPE,46
BL,18223,NATRIA LUMACHICIDA PFnPE,376
BL,18229,BAC MK PFnPE,0.65
BL,18233,BORDOFLOW SECTOR PFnPE,17.6
BL,18235,CIOPPER PFnPE,7.6
BL,18239,FLIPPER PFNPE,24.4
BL,18241,IDRORAME FLOW PFnPE,35
BL,18242,LEPINOX PLUS PFnPE,4.66
BL,18244,MOMENTUM PFnPE,3.24
BL,18245,POLTIGLIA MANICA 20 WG PFnPE,33
BL,18251,TIOLENE PFnPE,4
BL,18253,VERDERAME 20 WG PFnPE,103
BL,18257,3LOGY PFnPE,0.12
BL,18258,ALFIL WG PFnPE,6.4
BL,18259,BARBARIAN BIOGRADE 360 PFnPE,1248.5
BL,18263,BIOLID UP PFnPE,68.5
BL,18267,CONTENDER 80 WG PFnPE,15.2
BL,18269,GLIFENE BIOGRADE PFnPE,63
BL,18270,GLIPHOGAN TOP CL PFnPE,534.9
BL,18279,TAIFUN MK CL PFnPE,44.5
BL,18282,TRUSTEE 450 PFnPE,20
BL,18284,WANAX PFnPE,3.2
BL,18292,YUKON,60
BL,18313,FERRONITE PFNPE,131
BL,18318,PRINCIPAL FORTE,29.28
BL,18338,DITOFLO 700 WG,120
BL,18458,AQUICINE,30
BL,18521,DINAPIC TRIPLE,16
BL,18530,WEEDMASTER PRO 540,90
BL,18642,IRONFORTE ANTILUMACA PFNPE,193
BL,18809,VIBALLA,20
BL,18912,LORTAMA 25,40
PD,13,,3690
PD,13,THIOPRON,36182
PD,133,U 46 D-FLUID,3
PD,362,,11
PD,599,ACUPRICO 76 WG,30
PD,747,ZOLFO SPRUZZABILE,50
PD,909,,1560
PD,909,POLISOLFURO DI CALCIO POLISENIO,25
PD,1155,,20
PD,1155,CHEMOL 90 EL,19
PD,1156,,457
PD,1156,CHEMOL,6024
PD,1562,,22
PD,1573,,40
PD,1583,,1995
PD,1583,MICROTHIOL DISPERSS,74085
PD,1850,IDRORAME FLOW,370
PD,1903,SULFURENE,150
PD,1936,LIQUIZOL M,204
PD,2191,,92
PD,2191,WETTING PLUS,258
PD,2259,PASTA LUMACHICIDA IN GRANI,15
PD,2260,,364
PD,2260,GASTROTOX E,379
PD,2291,ESCA REGINA N,8
PD,2307,,204
PD,2307,VECTOR,1201
PD,2518,ACTELLIC 2/P,8.3
PD,2603,ESCACIDE,159
PD,2732,,375
PD,2732,GOLTIX,686
PD,2923,,7666
PD,2923,TIOVIT JET,983
PD,3102,OLEOTER,50
PD,3343,,237
PD,3343,U46 M CLASS,151
PD,3412,,20
PD,3412,SYLLIT 65,246
PD,3486,TRISCABOL DG,46
PD,3503,AGRUMIN,150
PD,3519,,20
PD,3519,METAMBANE,59
PD,3553,CURZATE,64
PD,3767,,316
PD,3767,FENOXILENE 200,1341
PD,3817,,47
PD,3817,DISERBONE KN,299
PD,4264,VIC 400 SC,31
PD,4701,,16
PD,4701,PIRIMOR 50,14
PD,4710,,303
PD,4710,ALIETTE,829.25
PD,5152,,3220
PD,5152,TIOSPOR WG,1010
PD,5574,LUMAKIDIN 5G,1179
PD,6136,GERMON L,64
PD,6321,,12
PD,6322,,1
PD,6322,OBSTHORMON 24A,14
PD,6437,,14
PD,6437,ETHREL,14
PD,6555,K-OBIOL ULV 6,13325.2
PD,6556,,6
PD,6556,K-OBIOL DP2,16
PD,6557,K-OBIOL EC 25,4106.56
PD,6771,,829
PD,6834,TEPETA COMBI FLOW,10
PD,6873,,40
PD,6873,IDRORAME 193,940
PD,6945,,17.5
PD,6945,TOPAS 10 EC,116.5
PD,6956,,126
PD,6956,TARGA FLO,15
PD,7020,BAGNANTE CIFO,217
PD,7053,PASTA CAFFARO NC,208
PD,7055,PASTA CAFFARO BLU,62.5
PD,7368,TURFENE L,78
PD,7379,,2
PD,7379,VENZAR,2.5
PD,7401,POLTIGLIA CAFFARO 20 DF NEW,28
PD,7454,ORMONE AG COMPRESSE,1.65
PD,7483,,58
PD,7483,DEVRINOL F,33
PD,7534,ROYAL MH,300
PD,7644,TENSIL,1250
PD,7700,,26.2
PD,7700,MATACAR FL,20
PD,7736,ZOLFO SCORREVOLE TRIVENTILATO 95% S,3325
PD,7764,,10
PD,7764,TIOLENE,90
PD,7911,AIRONE EXTRA,10
PD,7919,,5780
PD,7919,TOUCHDOWN,2167
PD,7922,OPALENE FLUID,11
PD,7930,,443
PD,7930,KERB FLO,412
PD,7961,RIZOLEX  GOLD,6
PD,7983,,15
PD,8023,,360
PD,8023,SUMIALFA ECHO,83
PD,8028,,296
PD,8028,CALARIS,100
PD,8102,,570
PD,8102,MERPAN 80 WDG,1064
PD,8146,,97.5
PD,8146,GALLERY,71
PD,8184,,227
PD,8184,CHALLENGE,717
PD,8189,,7650
PD,8229,BOLAS,1
PD,8259,,76
PD,8259,LAMDEX EXTRA,1679
PD,8320,DELFIN,110
PD,8376,,298
PD,8376,ARIANE II,498
PD,8376,ARIANE II 1 L,1
PD,8498,,8
PD,8498,FOLICUR WG,433.5
PD,8546,,20
PD,8546,DANITRON,2
PD,8558,PIRETRO VERDE,108
PD,8558,PIRETRO VERDE 500 ml,1
PD,8581,FOLIANE SC,55
PD,8599,,194
PD,8601,,342
PD,8601,FOLPAN 80 WDG,7230
PD,8617,,13
PD,8617,BANVEL 480 S,16
PD,8706,,1
PD,8706,AMID THIN W,4
PD,8712,,9
PD,8735,,316.5
PD,8735,TREBON UP,831
PD,8795,,17
PD,8795,VERTIMEC EC,32
PD,8801,,51.25
PD,8801,SCORE 25 EC,539.75
PD,8836,,4
PD,8836,MIMIC,244
PD,8874,,118
PD,8874,ETOFUM - FL,48
PD,8899,ZOLFO VENTILATO RAMATO 5%,675
PD,8929,TOPIK 240 EC,14
PD,8934,SCALA,18
PD,8937,,1
PD,8937,SHIRUDO,4
PD,9005,,848
PD,9005,AGIL,1878
PD,9012,CUPROCAFFARO MICRO,504
PD,9041,,19360
PD,9061,,1
PD,9061,PANTOPUR MC,90
PD,9210,,17
PD,9210,QUADRIS,436
PD,9244,,760
PD,9244,ZIRAMIT 76 WG,1010
PD,9267,,160
PD,9267,ROYALTAC N,580
PD,9286,OHAYO,1
PD,9306,,1
PD,9306,PROPLANT,12
PD,9371,PEAK,0.12
PD,9373,,5
PD,9373,CHORUS,11
PD,9380,FREEWAY 360,830
PD,9411,,19
PD,9420,OSSIRAM 70 FLOW,5
PD,9422,,336
PD,9422,EVADE,1043.75
PD,9422,EVADE 1 L,27
PD,9448,RIFLE 3-18 R BLU,160
PD,9509,,1.5
PD,9509,PROMALIN NT,7
PD,9531,,10
PD,9569,ZETARAM 3B FL,274
PD,9575,DRIBBLING 240 EC,19
PD,9578,,86.25
PD,9578,SWITCH,780.5
PD,9627,SOLUTION 20 DISPERSS,4930
PD,9631,METRIN EC,5
PD,9679,KRISTAL 32 WG,487
PD,9705,,33
PD,9705,PREVITER,204.2
PD,9705,PREVITER 1 L,1
PD,9723,,10
PD,9723,DE-SPROUT N,20
PD,9724,TIOWETTING DF,3150
PD,9757,,124
PD,9757,SPYRALE,1
PD,9790,,214
PD,9790,CONTATTO 320,5
PD,9800,,111.35
PD,9800,MAVRIK SMART,410.15
PD,9809,MALVIN 80 WG,62
PD,9843,,439
PD,9843,BASAGRAN SG,712
PD,9954,,1116
PD,9954,JOKER,2163
PD,10048,KUMULUS TECNO,2200
PD,10117,,881
PD,10117,STRATOS ULTRA,922
PD,10118,,395
PD,10118,AMISTAR,279
PD,10142,VERNOIL,160
PD,10154,BORDOFLOW SECTOR,2
PD,10158,PIREFLOR,24
PD,10161,,172
PD,10161,ORTIVA,223
PD,10175,SPORAMIL R FLOW,164
PD,10220,,176
PD,10224,,10
PD,10226,NOXIS M,1
PD,10296,,263
PD,10305,,6
PD,10305,OIKOS,86.3
PD,10306,MISTRAL,498
PD,10350,BLAST SG,201
PD,10381,,616
PD,10381,CONCORDE 40 EW,2
PD,10381,CONCORDE 40 EW 1 L,2
PD,10415,ARIC 480 L.S.,15.5
PD,10423,LUMACHICIDA VEBI,278
PD,10439,,24
PD,10439,SPRAY DUNGER GLOBAL,18
PD,10461,DICOTURF 500 ml,3
PD,10479,,147
PD,10479,NATURALIS,110
PD,10479,NATURALIS 1 L,1
PD,10573,,100
PD,10573,KOCIDE 2000,3591
PD,10577,,755.5
PD,10577,METRIPHAR 70 WG,1946
PD,10585,,120
PD,10585,SULCOTREK,605
PD,10588,BIOPIREN PLUS,1
PD,10604,,37.77
PD,10604,EMERALD 40 EW,187.1
PD,10632,,15
PD,10632,COBRE NORDOX SUPER 75 WG,386
PD,10701,,65.25
PD,10701,CUMETA FLOW,613
PD,10741,,98
PD,10741,METACINQUE,475
PD,10771,,360
PD,10771,MOST MICRO,2116
PD,10771,MOST MICRO 1 L,1
PD,10816,PIRETRO GARDEN PFnPO,7.5
PD,10889,AGRIMIX GOLD,2
PD,10890,,50
PD,10890,FLiPPER,50.85
PD,10926,,36
PD,10926,ALTOREX,28
PD,10929,,1.8
PD,10929,CHIKARA 25 WG,17.6
PD,10944,,176.5
PD,10944,KARATE ZEON,148.25
PD,10948,VITISAN WG,272
PD,10976,,404.75
PD,10976,METEOR,924
PD,10999,,583
PD,10999,BETANAL SE,98
PD,11011,,1411
PD,11011,DASH HC,1882
PD,11040,POLTIGLIA BORDOLESE DISPERSS BLU,160
PD,11059,,171
PD,11059,BIOPOWER,565
PD,11070,,27455
PD,11102,,140
PD,11102,HELIOSOUFRE S,60
PD,11107,ECO-TRAP,700
PD,11119,,1.5
PD,11119,FLINT,210.45
PD,11133,,181
PD,11133,SHELTER,581.5
PD,11147,,484.5
PD,11165,,42
PD,11165,POLAK,1
PD,11183,PROGERBALIN LG,6
PD,11206,,575
PD,11206,CODACIDE,1932.5
PD,11243,,1541
PD,11243,LEOPARD 5 EC,3527
PD,11253,,402
PD,11253,CALLISTO,303.4
PD,11255,,1344
PD,11257,COSTAR WG,27
PD,11258,,50
PD,11258,FAZOR STAR,370
PD,11341,,6
PD,11341,STARANE GOLD,756
PD,11353,,576
PD,11353,FUSILADE MAX,549
PD,11379,,120
PD,11393,,96
PD,11393,BEETLE,221
PD,11402,MELODY COMBI,10
PD,11416,OVIPRON TOP,100
PD,11418,ROUNDUP FLEX,1
PD,11435,FLORANET,32
PD,11448,KICKER,183
PD,11479,BRANCHER DIRADO,75
PD,11497,,2
PD,11505,,140
PD,11505,READY GERMIPLUS,301
PD,11525,FUNGIDINA 400 SC,7
PD,11526,,368
PD,11526,SULTAN,563
PD,11556,,0.02
PD,11561,,0.24
PD,11561,NEEMAZAL T/S,2
PD,11569,CUPROXAT S.D.I.,223
PD,11619,TIOFLOR WDG,152
PD,11637,,92
PD,11637,CUPROFIX C DISPERSS,370
PD,11649,,145.8
PD,11649,COMMAND 36 CS,607.8
PD,11678,,10
PD,11678,ACTELLIC 2/P NEWPHARM,1439
PD,11687,ACTELLIC 5 NEWPHARM,6175.15
PD,11690,GOAL 480 SC,7
PD,11693,,5.25
PD,11693,LASER,25.75
PD,11735,DELICIA CONTRA-LUMACHE,2.4
PD,11760,,460
PD,11760,POLITHIOL,2520
PD,11767,BIG MAIS,8
PD,11779,KOP-TWIN,244
PD,11793,XENTARI WG,15.5
PD,11794,PRESSING 500,0.75
PD,11857,MIDAURIL COMBI,200
PD,11872,RIFLE 3-18-R,6
PD,11908,VENTUREX 400 SC,1
PD,11926,NOIDIO GOLD 10 EC,5
PD,11944,,150
PD,11944,ASPECT,5
PD,11991,NEEMIK TEN,54
PD,11999,,1835
PD,11999,BUSSOLA WG NC,435
PD,12010,TUAREG,39
PD,12020,,0.57
PD,12023,,322
PD,12041,,149
PD,12041,MARTOS,105
PD,12043,,44
PD,12043,PREVICUR ENERGY,33
PD,12044,CURZATE SYSTEM,20
PD,12048,TIOSOL 80 WG,2
PD,12068,,2280
PD,12068,TEFLUSTAR,530
PD,12069,EPIK,4
PD,12090,,1940
PD,12096,,3480
PD,12096,POLTIGLIA DISPERSS,10550
PD,12100,ASSET DUO,5
PD,12106,,4
PD,12106,TALENDO,204
PD,12114,AUXIGER LG,54.5
PD,12133,,6
PD,12133,JUVINAL GOLD,41
PD,12170,,45
PD,12170,HELIOCUIVRE,335
PD,12225,,3.88
PD,12225,TEPPEKI,42.64
PD,12296,GAIO SX,0.18
PD,12319,KRONOS,34
PD,12361,,6
PD,12361,ALGEDI,23.2
PD,12375,,92
PD,12375,SUGAR 500 SC,41
PD,12381,,9
PD,12381,NU-FILM-P,62
PD,12437,,200
PD,12437,DELAN 70 WG,342
PD,12452,,43
PD,12452,EQUIP,472
PD,12453,MILDICUT,108
PD,12461,FINALSAN ERBICIDA PROFESSIONAL,13
PD,12504,FLOWBRIX,1
PD,12529,,2
PD,12534,,22.75
PD,12534,FOXTAIL,189.7
PD,12534,FOXTAIL 250 ml,4.75
PD,12538,,45
PD,12538,MYSTIC 25 WG,1
PD,12540,,70
PD,12540,REGRAN EXTRA,102
PD,12548,XANILO 45 WG,125
PD,12566,PYGANIC 1.4,1
PD,12590,,1470
PD,12590,DIASTAR MAXI,4040
PD,12625,,1
PD,12647,,72
PD,12647,GLITTER,69
PD,12661,NEXOL 10 WG,48
PD,12662,,680
PD,12671,,35.11
PD,12671,HARMONY 50 SX,34.26
PD,12706,PERMIT,0.3
PD,12722,OSSICLOR 20 FLOW,135
PD,12737,AIRONE PIU',1470
PD,12738,KING 360 HP,200
PD,12748,,80
PD,12754,VERDRAM HI BIO,17
PD,12756,,28
PD,12756,DICOTEX,6
PD,12759,OSSICLOR 35 WG,356
PD,12763,PYGRAIN,1293.3
PD,12768,,13
PD,12768,SPINTOR FLY,8
PD,12770,ALAR 85 GOLD,14
PD,12791,ZOLFO AFEPASA 98.5 DP,15
PD,12792,,443
PD,12792,MAGIC TANDEM,389
PD,12806,,1
PD,12806,FEDOR,751
PD,12828,,1
PD,12828,SITOFEX,1
PD,12831,INSIGNIA,6
PD,12843,,1.48
PD,12857,,15
PD,12857,PROREX,7
PD,12859,BORNEO,0.5
PD,12860,MILBEKNOCK,3
PD,12862,,92
PD,12862,CANTUS,56
PD,12863,FLORAMITE 240 SC,3.25
PD,12866,,12
PD,12866,COLLIS,12
PD,12868,,1
PD,12868,BELLIS,17
PD,12869,,58
PD,12869,SIGNUM,1298
PD,12878,,501
PD,12878,FOLPAN GOLD,12893
PD,12883,,82
PD,12883,PROSPER 300 CS,1351
PD,12886,,550
PD,12886,KARATHANE STAR,4631
PD,12888,,114
PD,12888,LEPINOX PLUS,33
PD,12888,LEPINOX PLUS 1 Kg,1
PD,12916,SACRON 45 WG,757
PD,12933,,80
PD,12940,,428
PD,12940,KARATE ZEON 1.5,1055.5
PD,12954,,340
PD,12954,SPECTRUM,1808
PD,12960,,6
PD,12960,STARPROP,3
PD,12961,,212
PD,12961,HEREU,94
PD,13012,,5138
PD,13012,FOLVIT 80 WDG,7
PD,13018,GONDOR,84
PD,13020,MICRORAM 35 WG,40
PD,13061,,136
PD,13061,BIOBIT DF,58
PD,13062,,2
PD,13063,REGULEX 10 SG,0.4
PD,13064,,87
PD,13064,VITENE ULTRA SC,627.5
PD,13065,,1
PD,13065,DOMARK 125,8
PD,13076,,9
PD,13084,,67
PD,13084,TELDOR PLUS,194
PD,13093,,412
PD,13093,STOMP AQUA,1439
PD,13095,DIRA-MAX LG,3
PD,13098,,25
PD,13098,ROUNDUP POWER 2.0,5009
PD,13104,ALGOR PLATIN,195
PD,13106,IKANOS,15
PD,13116,,0.5
PD,13116,MEDOR 35 CLASS,10
PD,13120,,402
PD,13120,MYSTIC 430 SC,1
PD,13120,MYSTIC 430 SC 1 L,2
PD,13127,VALIS F,1640
PD,13149,,320
PD,13149,POLTIGLIA MANICA 20 WG,58
PD,13150,CURAME 25 WG,194
PD,13152,,1
PD,13152,OPTIX R DISPERSS,330
PD,13154,,202
PD,13154,MONDAK 480 S,124
PD,13156,CAMBEL 480 S,5
PD,13158,,57
PD,13158,REMEDIER,144
PD,13159,PRIMIAL,2
PD,13166,SPINNER WG,4
PD,13168,,1222
PD,13168,LAUDIS,4145
PD,13179,PLAYER COMBI SC,65
PD,13205,,25
PD,13211,ZOLFO VENTILATO SCORREVOLE 96%,3725
PD,13213,R6 ERRESEI ALBIS,4
PD,13218,,70
PD,13218,FINALSAN PLUS,190
PD,13236,BULLET,808
PD,13242,,1023
PD,13242,NICOGAN V.O.,1919
PD,13244,ZOLFO VENTILATO STELLA,1765
PD,13249,,125
PD,13252,,24
PD,13252,PLAYER 250 SC,315
PD,13252,PLAYER 250 SC 1 L,2
PD,13253,,8
PD,13253,PLAYER SC,10
PD,13254,PLAYER 25 WG,84
PD,13255,PLAYER GR,20
PD,13285,,1
PD,13285,SEVERAL,2
PD,13292,,350
PD,13311,DOMARK COMBI WG,2
PD,13313,,67
PD,13313,CASPER,89
PD,13323,SULFY 80 WDG,37
PD,13327,,17.3
PD,13327,GRANSTAR ULTRA SX,32.7
PD,13329,OMNEX 10 EC,224
PD,13367,,50
PD,13367,DIVO,67.25
PD,13377,COLUMBUS,12
PD,13382,,1037.5
PD,13382,PERGADO SC,1380
PD,13386,,141
PD,13386,PROSARO,352
PD,13387,,86.92
PD,13387,FLORAMIX,157.41
PD,13388,,38.69
PD,13389,,1298
PD,13389,AFFIRM,3017
PD,13391,,346
PD,13391,CYTHRIN 50 EC,766.25
PD,13447,HELMSTAR 75 WG,0.68
PD,13451,SPARVIERO,146
PD,13466,,234.5
PD,13466,SPOTLIGHT PLUS,580
PD,13471,NICOZEA OD,30
PD,13472,ALIEN,5
PD,13485,,10
PD,13485,FOLPEC 80 WG ADVANCE,6872
PD,13486,JUDO,2
PD,13489,,2
PD,13489,CYMBAL,8
PD,13518,NISUS 3B,200
PD,13552,ZOLVIS 80 SECTOR,5120
PD,13576,RAMEPLANT WG,20
PD,13578,RAME CAFFARO BLU WG NEW,18
PD,13579,,800
PD,13581,ZOLVIS OTTANTA WG,610
PD,13586,VERDERAME 20 WG,10
PD,13592,,77
PD,13592,VOLARE,81.05
PD,13600,,4927
PD,13604,,25
PD,13635,POLTIGLIA 20 PB MANICA,9
PD,13637,,5
PD,13637,PERGADO F,203
PD,13689,,14.5
PD,13689,FLINT MAX,20.5
PD,13691,TRIDAN COMBI T,10
PD,13693,BACILLUS CHEMIA,29
PD,13698,,0.25
PD,13698,VIVANDO,215.5
PD,13700,ATLANTIS PRO,40.5
PD,13701,,64.8
PD,13711,,3981
PD,13714,,70
PD,13714,FOLPEC 50 SC,95
PD,13763,,888
PD,13763,WING-P,85
PD,13771,,68
PD,13771,NIMROD 250 EW,461
PD,13782,DOURO 10 WG,13
PD,13789,PRIMERO,84
PD,13791,GEATER-STAR 5 Kg,40
PD,13792,,42
PD,13792,STABILAN,20
PD,13796,CELL,17.75
PD,13809,,96520
PD,13809,FORCE ULTRA,80309
PD,13817,,34
PD,13823,,72
PD,13823,ALVERDE,56.32
PD,13841,,8048
PD,13841,FOCUS ULTRA,5919
PD,13856,COPRANTOL TRIO,9
PD,13876,APACHE,149
PD,13888,,1049
PD,13888,FANTIC F NC WG,2024
PD,13895,SAVIRAN STAR,945
PD,13905,,93
PD,13905,BANJO,155
PD,13925,,26.5
PD,13927,ZAMIR 18,17
PD,13981,,150.3
PD,13981,CORAGEN,294.95
PD,13983,,20
PD,13983,HUSSAR MAXX PRO,175
PD,14020,LIDAL,133
PD,14044,JOKER 480,15
PD,14058,,55
PD,14058,FEINZIN 70 DF,397.5
PD,14062,,183
PD,14062,ZOXIUM 240 SC,985
PD,14100,,11
PD,14100,KANEMITE,73
PD,14101,CARAMBA,408
PD,14102,,10
PD,14102,BORDOFLOW NEW,4364
PD,14119,VISIR PENCOTECH,49
PD,14128,ZIGNAL,14
PD,14135,GRENADIER 75 DF,0.02
PD,14137,,21.4
PD,14137,ALTACOR,65.1
PD,14154,,10
PD,14155,,1680
PD,14156,CURZATE R WG,10
PD,14165,,91
PD,14165,NANDO MAXI,248
PD,14182,,118
PD,14182,ARES 25 WG,254
PD,14193,SARMOX 45 DG,105
PD,14195,,525
PD,14204,75A,12
PD,14210,,63
PD,14210,EVURE PRO,327.1
PD,14217,TENAX EW,33
PD,14232,CYTHRIN MAX,6
PD,14245,THIRAS,25.25
PD,14257,"UNDERLINE 0,2 G",4
PD,14262,,9
PD,14262,GREENEX NF,11
PD,14323,,1
PD,14375,,164
PD,14375,LION 5 EC,874
PD,14390,BOOM EFEKT,4287
PD,14405,MERLIN FLEXX,15
PD,14406,,39.5
PD,14406,LEIMAY,190.75
PD,14407,,29.82
PD,14407,RUNWAY,42.5
PD,14414,,12
PD,14414,DUSTY,5.5
PD,14418,PULSAR 40 SL,147
PD,14431,,15
PD,14431,LENTAGRAN 45 WP,249
PD,14434,NUANCE,0.04
PD,14440,SOLAR 360,8767
PD,14460,KOBAN 600,920
PD,14479,,1433
