INPUT_NAME,INPUT_URL,OWNER,CANONICAL_URL,QUALIFICATION_SCORE,PRIORITY,VALIDATION_RESULT,REAL_EXAMPLE,EVIDENCE_PATH,SOURCE_ID,ATLAS_STATUS,DATABASE_STATUS,VERDICT,REASON
APPA Trento — Agenzia provinciale protezione ambiente,https://appa.provincia.tn.it/,Provincia autonoma di Trento,https://appa.provincia.tn.it/,96.7,P1,REGISTERED,Voluntary local review (VLR) 2026 / Approfondimenti / News / Homepage - APPA,data/samples/IT-SOURCE-SAMPLES/IT-T2-010/MANIFEST.json,IT-T2-010,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,frequencia de atualizacao por provar
ARPA Lombardia,https://www.arpalombardia.it/,ARPA Lombardia,https://www.arpalombardia.it/,96.7,P1,REGISTERED,"Approfondisci qui 
                                                                                        
                              ",data/samples/IT-SOURCE-SAMPLES/IT-T2-011/MANIFEST.json,IT-T2-011,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,frequencia de atualizacao por provar
Liguria — Regione Liguria agricoltura,https://www.regione.liguria.it/homepage-agricoltura.html,Regione Liguria,https://www.regione.liguria.it/homepage-agricoltura.html,96.7,P1,REGISTERED,attività istituzionale - avvisi - Regione Liguria,data/samples/IT-SOURCE-SAMPLES/IT-T1-004/MANIFEST.json,IT-T1-004,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,frequencia de atualizacao por provar
Umbria — Agricoltura e foreste,https://www.regione.umbria.it/home,Regione Umbria,https://www.regione.umbria.it/home,96.7,P1,REGISTERED,Celebrazioni del 165 anniversario dell’Ente Santa Croce Maria Montessori di Perugia - Notizie - Regione Umbria,data/samples/IT-SOURCE-SAMPLES/IT-T1-005/MANIFEST.json,IT-T1-005,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,frequencia de atualizacao por provar
ARPA Friuli Venezia Giulia — OSMER,https://www.arpa.fvg.it/,ARPA FVG,https://www.arpa.fvg.it/,95,P1,REGISTERED,"Le proposte per le scuole 2026/27
            
            
                
                    - ARPA FVG",data/samples/IT-SOURCE-SAMPLES/IT-T2-012/MANIFEST.json,IT-T2-012,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
ARPA Lazio,https://www.arpalazio.it/,ARPA Lazio,https://www.arpalazio.it/,95,P1,REGISTERED,Pubblicazioni - RIR - ARPA Lazio,data/samples/IT-SOURCE-SAMPLES/IT-T2-013/MANIFEST.json,IT-T2-013,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
ARSAC Calabria — Azienda Regionale per lo Sviluppo dell'Agricoltura Calabrese,https://www.arsac.calabria.it/,Regione Calabria,https://www.arsac.calabria.it/,95,P1,REGISTERED,"BOLLETTINO agrometeorologico e fitosanitario – agrumi, olivo, vite e kiwi &#8211; valido fino al 4 agosto 2026 &#8211; ARSAC",data/samples/IT-SOURCE-SAMPLES/IT-T1-006/MANIFEST.json,IT-T1-006,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
CNR — Consiglio Nazionale delle Ricerche,https://www.cnr.it/,CNR,https://www.cnr.it/,95,P1,REGISTERED,L&#039;enigma del Medioevo a Grotta Romanelli: tre corpi e un mistero lungo millenni | Consiglio Nazionale delle Ricerche,data/samples/IT-SOURCE-SAMPLES/IT-T5-006/MANIFEST.json,IT-T5-006,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
Institut Agricole Regional — Aosta,https://www.iaraosta.it/,Institut Agricole Regional,https://www.iaraosta.it/,95,P1,REGISTERED,Carta della Qualità,data/samples/IT-SOURCE-SAMPLES/IT-T5-007/MANIFEST.json,IT-T5-007,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
ARPA Molise,https://www.arpamolise.it/,ARPA Molise,https://www.arpamolise.it/,94.4,P1,REGISTERED,https://www.arpamolise.it/Comunicazione/Pubblicazioni/pdf/cartaservizi.pdf,data/samples/IT-SOURCE-SAMPLES/IT-T2-014/MANIFEST.json,IT-T2-014,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,frequencia de atualizacao por provar
AIAM — Associazione Italiana di Agrometeorologia,https://www.agrometeorologia.it/,AIAM,https://www.agrometeorologia.it/,93,P1,REGISTERED,Brochure,data/samples/IT-SOURCE-SAMPLES/IT-T2-015/MANIFEST.json,IT-T2-015,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
ARPA Marche,https://www.arpa.marche.it/,ARPAM,https://www.arpa.marche.it/,93,P1,REGISTERED,Tariffario,data/samples/IT-SOURCE-SAMPLES/IT-T2-016/MANIFEST.json,IT-T2-016,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
ARSIAL — Agenzia Regionale Sviluppo Innovazione Agricoltura Lazio,https://www.arsial.it/,Regione Lazio,https://www.arsial.it/,93,P1,REGISTERED,Avvisi per privati Archive - Arsial,data/samples/IT-SOURCE-SAMPLES/IT-T1-007/MANIFEST.json,IT-T1-007,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
Agricoltura Regione Lombardia,https://www.ersaf.lombardia.it/it,Regione Lombardia,https://www.ersaf.lombardia.it/montagna/rifugi/it-servizi-alla-montagna-attivita-per-i-territori-montani-2022/,93,P1,REGISTERED,Clicca per scaricare il Decreto iscrizione Elenco rifugi 2025,data/samples/IT-SOURCE-SAMPLES/IT-T1-008/MANIFEST.json,IT-T1-008,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
CNR IPSP — Istituto per la Protezione Sostenibile delle Piante,http://www.ipsp.cnr.it/,CNR,http://www.ipsp.cnr.it/,93,P1,REGISTERED,Notizie &#8211; IPSP,data/samples/IT-SOURCE-SAMPLES/IT-T3-017/MANIFEST.json,IT-T3-017,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,so responde em HTTP
CNR IRET — Istituto di Ricerca sugli Ecosistemi Terrestri,https://www.iret.cnr.it/,CNR,https://www.iret.cnr.it/,93,P1,REGISTERED,News - IRET,data/samples/IT-SOURCE-SAMPLES/IT-T2-017/MANIFEST.json,IT-T2-017,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
CNR ISAFOM — Istituto per i Sistemi Agricoli e Forestali del Mediterraneo,https://www.isafom.cnr.it/,CNR,https://www.isafom.cnr.it/,93,P1,REGISTERED,News Archivi - CNR - ISAFOM,data/samples/IT-SOURCE-SAMPLES/IT-T2-018/MANIFEST.json,IT-T2-018,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
Lazio — Agricoltura Regione Lazio,https://www.regione.lazio.it/cittadini/agricoltura,Regione Lazio,https://www.regione.lazio.it/cittadini/agricoltura,93,P1,REGISTERED,| Regione Lazio | PN FEAMPA 2021/2027 Intervento 222507 – Approvazione Bando,data/samples/IT-SOURCE-SAMPLES/IT-T1-009/MANIFEST.json,IT-T1-009,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
Regione Abruzzo — Agricoltura,https://www.regione.abruzzo.it/,Regione Abruzzo,https://www.regione.abruzzo.it/,93,P1,REGISTERED,"Sanità, validati i nuovi atti aziendali delle quattro Asl regionali | Regione Abruzzo",data/samples/IT-SOURCE-SAMPLES/IT-T1-010/MANIFEST.json,IT-T1-010,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
Regione Umbria — Agricoltura,https://www.regione.umbria.it/agricoltura,Regione Umbria,https://www.regione.umbria.it/agricoltura,93,P1,REGISTERED,Legge Serpieri - Notizia - Regione Umbria,data/samples/IT-SOURCE-SAMPLES/IT-T1-011/MANIFEST.json,IT-T1-011,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
Regione Valle d'Aosta — Agricoltura,https://www.regione.vda.it/agricoltura/,Regione Autonoma Valle d'Aosta,https://www.regione.vda.it/agricoltura/,93,P1,REGISTERED,Avvisi di incarichi dirigenziali - Pubblicità - Regione Autonoma Valle d'Aosta,data/samples/IT-SOURCE-SAMPLES/IT-T1-012/MANIFEST.json,IT-T1-012,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
ARPA Piemonte,https://www.arpa.piemonte.it/,ARPA Piemonte,https://www.arpa.piemonte.it/home,92.2,P1,REGISTERED,La Relazione sullo Stato dell&#039;Ambiente del Piemonte 2026 | Arpa Piemonte,data/samples/IT-SOURCE-SAMPLES/IT-T2-019/MANIFEST.json,IT-T2-019,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,frequencia de atualizacao por provar
Fondazione Agrion — Fondazione per la ricerca l'innovazione e lo sviluppo tecnologico dell'agricoltura piemontese,https://www.agrion.it/,Fondazione Agrion,https://www.agrion.it/,92,P1,REGISTERED,NÃO REPRESENTATIVO — papelada administrativa; rever com navegador,data/samples/IT-SOURCE-SAMPLES/IT-T5-008/MANIFEST.json,IT-T5-008,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,exemplo real nao representativo
Fondazione Minoprio,https://www.fondazioneminoprio.it/,Fondazione Minoprio,https://www.fondazioneminoprio.it/,92,P1,REGISTERED,Regolamento,data/samples/IT-SOURCE-SAMPLES/IT-T5-009/MANIFEST.json,IT-T5-009,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
Fondazione per l'Agricoltura F.lli Navarra,https://www.fondazionenavarra.it/,Fondazione Navarra,https://www.fondazionenavarra.it/,92,P1,REGISTERED,La Pianura,data/samples/IT-SOURCE-SAMPLES/IT-T5-010/MANIFEST.json,IT-T5-010,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
UNIBA DiSSPA — Dipartimento di Scienze del Suolo della Pianta e degli Alimenti,https://www.uniba.it/it/ricerca/dipartimenti/disspa,Universita di Bari Aldo Moro,https://www.uniba.it/it/ricerca/dipartimenti/disspa,92,P1,REGISTERED,Processi e subprocessi associati ai Dipartimenti di ricerca,data/samples/IT-SOURCE-SAMPLES/IT-T5-011/MANIFEST.json,IT-T5-011,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
UNIPI DiSAAA-a — Dipartimento di Scienze Agrarie Alimentari e Agro-ambientali,https://www.agr.unipi.it/,Universita di Pisa,https://www.agr.unipi.it/,92,P1,REGISTERED,https://www.agr.unipi.it/wp-content/uploads/2026/07/ad-agraria.pdf,data/samples/IT-SOURCE-SAMPLES/IT-T5-012/MANIFEST.json,IT-T5-012,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
CRPA — Centro Ricerche Produzioni Animali,https://www.crpa.it/,CRPA,https://www.crpa.it/,91.1,P1,REGISTERED,Codice SDI Agenzia delle Entrate,data/samples/IT-SOURCE-SAMPLES/IT-T5-013/MANIFEST.json,IT-T5-013,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,frequencia de atualizacao por provar
UNITUS DAFNE — Dipartimento di Scienze Agrarie e Forestali,https://www.unitus.it/it/dipartimento/dafne,Universita della Tuscia,https://www.unitus.it/dipartimenti/dafne/,91.1,P1,REGISTERED,Linee guida internazionalizzazione CdL,data/samples/IT-SOURCE-SAMPLES/IT-T5-014/MANIFEST.json,IT-T5-014,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,frequencia de atualizacao por provar
ARTA Abruzzo,https://www.artaabruzzo.it/,ARTA Abruzzo,https://www.artaabruzzo.it/,91,P1,REGISTERED,NÃO REPRESENTATIVO — papelada administrativa; rever com navegador,data/samples/IT-SOURCE-SAMPLES/IT-T2-020/MANIFEST.json,IT-T2-020,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,exemplo real nao representativo
Agrisole — quotidiano agricolo del Sole 24 Ore,https://www.agrisole.ilsole24ore.com/,Il Sole 24 Ore,https://www.agrisole.ilsole24ore.com/,91,P1,REGISTERED,My24 - Il Sole 24 ORE,data/samples/IT-SOURCE-SAMPLES/IT-T10-006/MANIFEST.json,IT-T10-006,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
CNR IBBR — Istituto di Bioscienze e Biorisorse,https://www.ibbr.cnr.it/,CNR,https://www.ibbr.cnr.it/ibbr/,91,P1,REGISTERED,IBBR News: European Biotech Week 2026 - IBBR-CNR,data/samples/IT-SOURCE-SAMPLES/IT-T5-015/MANIFEST.json,IT-T5-015,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
ARPA Liguria,https://www.arpal.liguria.it/,ARPAL,https://www.arpal.liguria.it/,90,P1,REGISTERED,"Notizie tematiche - Estate 2026, a Genova quasi 90 notti tropicali e 60 “più che tropicali” - Arpal Liguria",data/samples/IT-SOURCE-SAMPLES/IT-T2-021/MANIFEST.json,IT-T2-021,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,frequencia de atualizacao por provar
ARPA Valle d'Aosta,https://www.arpa.vda.it/,ARPA Valle d'Aosta,https://www.arpa.vda.it/,90,P1,REGISTERED,Agenzia Regionale della Protezione dell'Ambiente - Valle D'Aosta,data/samples/IT-SOURCE-SAMPLES/IT-T2-022/MANIFEST.json,IT-T2-022,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,frequencia de atualizacao por provar
Assosementi,https://www.sementi.it/,Assosementi,https://www.sementi.it/,90,P1,REGISTERED,"Seme in natura certificato e pulito (tara 0%) di erba medica: confermato a 2,80 €/kg il prezzo orientativo per la campagna 2026 - Assosementi",data/samples/IT-SOURCE-SAMPLES/IT-T1-013/MANIFEST.json,IT-T1-013,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
CNR ISPA — Istituto di Scienze delle Produzioni Alimentari,https://www.ispa.cnr.it/,CNR,https://www.ispa.cnr.it/,90,P1,REGISTERED,ISPA - CNR News & Eventi ISPA,data/samples/IT-SOURCE-SAMPLES/IT-T3-018/MANIFEST.json,IT-T3-018,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,frequencia de atualizacao por provar
Ente Nazionale Risi,http://www.enterisi.it/,Ente Nazionale Risi,http://www.enterisi.it/servizi/notizie/notizie_homepage.aspx,90,P1,REGISTERED,Ente Nazionale Risi,data/samples/IT-SOURCE-SAMPLES/IT-T1-014/MANIFEST.json,IT-T1-014,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,so responde em HTTP
ARPA Basilicata,https://www.arpab.it/,ARPAB,https://www.arpab.it/,89,P1,REGISTERED,"VEDI TUTTE		
		
			VEDI TUTTE",data/samples/IT-SOURCE-SAMPLES/IT-T2-023/MANIFEST.json,IT-T2-023,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
AIR UNIMI — Archivio Istituzionale della Ricerca,https://air.unimi.it/,Universita degli Studi di Milano,https://air.unimi.it/,88.9,P1,REGISTERED,Guida alla nuova interfaccia,data/samples/IT-SOURCE-SAMPLES/IT-T5-016/MANIFEST.json,IT-T5-016,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,frequencia de atualizacao por provar
Agroinnova — Centro di Competenza per l'Innovazione in campo agro-ambientale,https://www.agroinnova.unito.it/,Universita di Torino,https://www.agroinnova.unito.it/it,88.9,P1,REGISTERED,Progetti di Ricerca | Centro Interdipartimentale per l&#039;Innovazione in campo Agro-ambientale – AGROINNOVA,data/samples/IT-SOURCE-SAMPLES/IT-T3-019/MANIFEST.json,IT-T3-019,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,frequencia de atualizacao por provar
FLORE UNIFI — Archivio istituzionale della ricerca,https://flore.unifi.it/,Universita di Firenze,https://flore.unifi.it/,88.9,P1,REGISTERED,"REG. TESI DOTTORATO (ARTT. 29, 30)",data/samples/IT-SOURCE-SAMPLES/IT-T5-017/MANIFEST.json,IT-T5-017,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,frequencia de atualizacao por provar
IRIS UNIBO — Archivio istituzionale della ricerca,https://cris.unibo.it/,Universita di Bologna,https://cris.unibo.it/,88.9,P1,REGISTERED,Policy di Ateneo per l’accesso aperto alle pubblicazioni e ai dati della ricerca,data/samples/IT-SOURCE-SAMPLES/IT-T5-018/MANIFEST.json,IT-T5-018,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,frequencia de atualizacao por provar
IRIS UNIPD — Archivio della ricerca,https://www.research.unipd.it/,Universita di Padova,https://www.research.unipd.it/,88.9,P1,REGISTERED,Policy Open Access,data/samples/IT-SOURCE-SAMPLES/IT-T5-019/MANIFEST.json,IT-T5-019,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,frequencia de atualizacao por provar
IRIS UNITO — Archivio istituzionale,https://iris.unito.it/,Universita di Torino,https://iris.unito.it/,88.9,P1,REGISTERED,Come allegare il file Open Access [istruzioni],data/samples/IT-SOURCE-SAMPLES/IT-T5-020/MANIFEST.json,IT-T5-020,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,frequencia de atualizacao por provar
UNIFI DAGRI — Dipartimento di Scienze e Tecnologie Agrarie Alimentari Ambientali e Forestali,https://www.dagri.unifi.it/,Universita di Firenze,https://www.dagri.unifi.it/,88.9,P1,REGISTERED,"News | Dipartimento di Scienze e Tecnologie Agrarie, Alimentari, Ambientali e Forestali (DAGRI) | UniFI",data/samples/IT-SOURCE-SAMPLES/IT-T5-021/MANIFEST.json,IT-T5-021,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,frequencia de atualizacao por provar
Advances in Horticultural Science,https://oaj.fupress.net/index.php/ahs,Firenze University Press,https://oaj.fupress.net/,88,P1,REGISTERED,PDF,data/samples/IT-SOURCE-SAMPLES/IT-T5-022/MANIFEST.json,IT-T5-022,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
Cifo,https://www.cifo.it/,Cifo,https://www.cifo.it/,88,P1,REGISTERED,Newsroom - Cifo,data/samples/IT-SOURCE-SAMPLES/IT-T9-009/MANIFEST.json,IT-T9-009,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
ISMEA — Istituto di Servizi per il Mercato Agricolo Alimentare,https://www.ismea.it/,ISMEA,https://www.ismea.it/istituto-di-servizi-per-il-mercato-agricolo-alimentare,88,P1,REGISTERED,Comunicati stampa e news - Ismea,data/samples/IT-SOURCE-SAMPLES/IT-T10-007/MANIFEST.json,IT-T10-007,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
Italmopa — Associazione Industriali Mugnai d'Italia,https://www.italmopa.com/,Italmopa,https://www.italmopa.com/,88,P1,REGISTERED,Pubblicazioni - Italmopa,data/samples/IT-SOURCE-SAMPLES/IT-T10-008/MANIFEST.json,IT-T10-008,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
SSICA — Stazione Sperimentale per l'Industria delle Conserve Alimentari,https://www.ssica.it/,SSICA,https://www.ssica.it/,88,P1,REGISTERED,https://www.ssica.it/wp-content/uploads/2025/03/PROGETTO-ACTION.pdf,data/samples/IT-SOURCE-SAMPLES/IT-T5-023/MANIFEST.json,IT-T5-023,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
Terra e Vita — Edagricole,https://terraevita.edagricole.it/,Edagricole — New Business Media,https://terraevita.edagricole.it/,88,P1,REGISTERED,Dublino mette alla prova la nuova agricoltura europea - Terra e Vita,data/samples/IT-SOURCE-SAMPLES/IT-T1-015/MANIFEST.json,IT-T1-015,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
UNIMI DiSAA — Dipartimento di Scienze Agrarie e Ambientali,https://disaa.unimi.it/,Universita degli Studi di Milano,https://disaa.unimi.it/it,88,P1,REGISTERED,"Pubblicazioni | Dipartimento di Scienze Agrarie e Ambientali - Produzione, Territorio, Agroenergia",data/samples/IT-SOURCE-SAMPLES/IT-T5-024/MANIFEST.json,IT-T5-024,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
Scuola Superiore Sant'Anna — Istituto di Scienze delle Produzioni Vegetali,https://www.santannapisa.it/it/istituto/produzioni-vegetali,Scuola Superiore Sant'Anna Pisa,https://www.santannapisa.it/it/istituto/produzioni-vegetali,86.7,P1,REGISTERED,Al via il progetto INNOFLORENERG con il contributo scientifico dell’Istituto di Produzioni Vegetali della Scuola Sant’Anna. Tecnologie innovative per ,data/samples/IT-SOURCE-SAMPLES/IT-T5-025/MANIFEST.json,IT-T5-025,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,frequencia de atualizacao por provar
Serbios,https://www.serbios.it/,Serbios,https://www.serbios.it/,86.7,P1,REGISTERED,NÃO REPRESENTATIVO — papelada administrativa; rever com navegador,data/samples/IT-SOURCE-SAMPLES/IT-T9-010/MANIFEST.json,IT-T9-010,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,frequencia de atualizacao por provar; exemplo real nao representativo
