ORDEM,NOME,TIPO,OWNER,URL_CANONICAL,TERRITORIES,REGION,QUALIFICATION_SCORE,AUTOMATION_SCORE,WHY_FIRST,EXPECTED_VALUE
11,APPA Trento — Agenzia provinciale protezione ambiente,BASE_OFICIAL,Provincia autonoma di Trento,https://appa.provincia.tn.it/,T2;T12,TRENTINO-ALTO ADIGE,96.7,5,"agrometeorologia / clima / ambiente regional · e' o dono do dado, nao um intermediario · rota tecnica previsivel (sinais de rota estruturada na pagina: API, OPENDATA) · canal institucional do dono (o grupo tem 6 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, rota tecnica previsivel · cobre T2, T12"
12,ARPA Lombardia,BASE_OFICIAL,ARPA Lombardia,https://www.arpalombardia.it/,T2;T12,LOMBARDIA,96.7,5,"agrometeorologia / clima / ambiente regional · e' o dono do dado, nao um intermediario · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · canal institucional do dono (o grupo tem 4 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, rota tecnica previsivel · cobre T2, T12"
13,Liguria — Regione Liguria agricoltura,BASE_OFICIAL,Regione Liguria,https://www.regione.liguria.it/homepage-agricoltura.html,T1;T4,LIGURIA,96.7,5,"orgao agricola regional / politica agricola · e' o dono do dado, nao um intermediario · rota tecnica previsivel (sinais de rota estruturada na pagina: OPENDATA) · canal institucional do dono (o grupo tem 3 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, rota tecnica previsivel · cobre T1, T4"
14,Umbria — Agricoltura e foreste,BASE_OFICIAL,Regione Umbria,https://www.regione.umbria.it/home,T1;T4,UMBRIA,96.7,5,"orgao agricola regional / politica agricola · e' o dono do dado, nao um intermediario · rota tecnica previsivel (sinais de rota estruturada na pagina: OPENDATA) · canal institucional do dono (o grupo tem 2 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, rota tecnica previsivel · cobre T1, T4"
15,AGRIS Sardegna — Agenzia per la ricerca in agricoltura,BASE_OFICIAL,Regione Sardegna — AGRIS,http://www.sardegnaagricoltura.it/index.php?xsl=443&amp;v=2&amp;s=,T5;T1,SARDEGNA,95.0,4,"agencia regional agricola · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-09-14 (0d) — publicacao muito recente) · rota tecnica previsivel (declara feed RSS/Atom no cabecalho) · dono com um unico canal nesta base: nao repete ninguem · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta, rota tecnica previsivel, feed declarado · cobre T5, T1"
16,ARPA Friuli Venezia Giulia — OSMER,BASE_OFICIAL,ARPA FVG,https://www.arpa.fvg.it/,T2,FRIULI-VENEZIA GIULIA,95.0,5,"agrometeorologia / clima / ambiente regional · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-08-19 (26d) — publicacao muito recente) · rota tecnica previsivel (sinais de rota estruturada na pagina: OPENDATA) · dono com um unico canal nesta base: nao repete ninguem · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta, rota tecnica previsivel · cobre T2"
17,ARPA Lazio,BASE_OFICIAL,ARPA Lazio,https://www.arpalazio.it/,T2;T12,LAZIO,95.0,5,"agrometeorologia / clima / ambiente regional · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-09-10 (4d) — publicacao muito recente) · rota tecnica previsivel (sinais de rota estruturada na pagina: OPENDATA) · canal institucional do dono (o grupo tem 4 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta, rota tecnica previsivel · cobre T2, T12"
18,ARSAC Calabria — Azienda Regionale per lo Sviluppo dell'Agricoltura Calabrese,BASE_OFICIAL,Regione Calabria,https://www.arsac.calabria.it/,T1;T7;T3,CALABRIA,95.0,4,"agencia regional agricola · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-09-14 (0d) — publicacao muito recente) · rota tecnica previsivel (declara feed RSS/Atom no cabecalho) · canal institucional do dono (o grupo tem 4 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta, rota tecnica previsivel, feed declarado · cobre T1, T7, T3"
19,CNR — Consiglio Nazionale delle Ricerche,ORGANIZACAO,CNR,https://www.cnr.it/,T5;T6,NAZIONALE,95.0,4,"instituto nacional de investigacao · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-09-14 (0d) — publicacao muito recente) · rota tecnica previsivel (publica boletins em PDF — formato previsivel) · canal institucional do dono (o grupo tem 8 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta, rota tecnica previsivel · cobre T5, T6"
20,Institut Agricole Regional — Aosta,ORGANIZACAO,Institut Agricole Regional,https://www.iaraosta.it/,T5;T1;T7,VALLE D'AOSTA,95.0,5,"agencia regional agricola · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-08-12 (33d)) · rota tecnica previsivel (sinais de rota estruturada na pagina: API, OPENDATA) · dono com um unico canal nesta base: nao repete ninguem · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta, rota tecnica previsivel, feed declarado · cobre T5, T1, T7"
21,ARPA Molise,BASE_OFICIAL,ARPA Molise,https://www.arpamolise.it/,T2;T12,MOLISE,94.4,5,"agrometeorologia / clima / ambiente regional · e' o dono do dado, nao um intermediario · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · canal institucional do dono (o grupo tem 2 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, rota tecnica previsivel · cobre T2, T12"
22,Veneto Agricoltura — Agenzia veneta per l'innovazione nel settore primario,BASE_OFICIAL,Regione Veneto,https://www.venetoagricoltura.org/home,T1;T5;T7,VENETO,94.4,4,"agencia regional agricola · e' o dono do dado, nao um intermediario · rota tecnica previsivel (liga a ficheiros estruturados (csv/json/xlsx/xml)) · canal institucional do dono (o grupo tem 2 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, rota tecnica previsivel · cobre T1, T5, T7"
23,AIAM — Associazione Italiana di Agrometeorologia,ORGANIZACAO,AIAM,https://www.agrometeorologia.it/,T2;T5;T11,NAZIONALE,93.0,5,"agrometeorologia / clima / ambiente regional · e' o dono do dado, nao um intermediario · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · dono com um unico canal nesta base: nao repete ninguem · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, rota tecnica previsivel, feed declarado · cobre T2, T5, T11"
24,ARPA Marche,BASE_OFICIAL,ARPAM,https://www.arpa.marche.it/,T2;T12,MARCHE,93.0,4,"agrometeorologia / clima / ambiente regional · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-08-18 (27d) — publicacao muito recente) · rota tecnica previsivel (publica boletins em PDF — formato previsivel) · canal institucional do dono (o grupo tem 3 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta, rota tecnica previsivel · cobre T2, T12"
25,ARSIAL — Agenzia Regionale Sviluppo Innovazione Agricoltura Lazio,BASE_OFICIAL,Regione Lazio,https://www.arsial.it/,T1;T7;T3,LAZIO,93.0,5,"agencia regional agricola · e' o dono do dado, nao um intermediario · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · canal institucional do dono (o grupo tem 4 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, rota tecnica previsivel, feed declarado · cobre T1, T7, T3"
26,Agricoltura Regione Lombardia,BASE_OFICIAL,Regione Lombardia,https://www.ersaf.lombardia.it/montagna/rifugi/it-servizi-alla-montagna-attivita-per-i-territori-montani-2022/,T1;T4;T12,LOMBARDIA,93.0,5,"agencia regional agricola · e' o dono do dado, nao um intermediario · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · canal institucional do dono (o grupo tem 2 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, rota tecnica previsivel, feed declarado · cobre T1, T4, T12"
27,CNR IPSP — Istituto per la Protezione Sostenibile delle Piante,CIENCIA,CNR,http://www.ipsp.cnr.it/,T3;T5;T6,NAZIONALE,93.0,5,"instituto nacional de investigacao · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-07-04 (72d)) · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · canal institucional do dono (o grupo tem 8 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta, rota tecnica previsivel, feed declarado · cobre T3, T5, T6"
28,CNR IRET — Istituto di Ricerca sugli Ecosistemi Terrestri,CIENCIA,CNR,https://www.iret.cnr.it/,T2;T5,NAZIONALE,93.0,5,"instituto nacional de investigacao · e' o dono do dado, nao um intermediario · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · canal institucional do dono (o grupo tem 8 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, rota tecnica previsivel, feed declarado · cobre T2, T5"
29,CNR ISAFOM — Istituto per i Sistemi Agricoli e Forestali del Mediterraneo,CIENCIA,CNR,https://www.isafom.cnr.it/,T2;T1;T5,CAMPANIA,93.0,5,"instituto nacional de investigacao · e' o dono do dado, nao um intermediario · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · canal institucional do dono (o grupo tem 8 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, rota tecnica previsivel, feed declarado · cobre T2, T1, T5"
30,ERSAF Lombardia — Ente Regionale per i Servizi all'Agricoltura e alle Foreste,BASE_OFICIAL,Regione Lombardia,https://www.ersaf.lombardia.it/,T1;T7;T2,LOMBARDIA,93.0,5,"agencia regional agricola · e' o dono do dado, nao um intermediario · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · canal institucional do dono (o grupo tem 2 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, rota tecnica previsivel, feed declarado · cobre T1, T7, T2"
31,Lazio — Agricoltura Regione Lazio,BASE_OFICIAL,Regione Lazio,https://www.regione.lazio.it/cittadini/agricoltura,T1;T4,LAZIO,93.0,3,"orgao agricola regional / politica agricola · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-09-11 (3d) — publicacao muito recente) · canal institucional do dono (o grupo tem 4 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta · cobre T1, T4"
32,Regione Abruzzo — Agricoltura,BASE_OFICIAL,Regione Abruzzo,https://www.regione.abruzzo.it/,T1;T4,ABRUZZO,93.0,3,"orgao agricola regional / politica agricola · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-09-14 (0d) — publicacao muito recente) · dono com um unico canal nesta base: nao repete ninguem · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta · cobre T1, T4"
33,Regione Umbria — Agricoltura,BASE_OFICIAL,Regione Umbria,https://www.regione.umbria.it/agricoltura,T1;T4,UMBRIA,93.0,5,"orgao agricola regional / politica agricola · e' o dono do dado, nao um intermediario · rota tecnica previsivel (sinais de rota estruturada na pagina: OPENDATA) · canal institucional do dono (o grupo tem 2 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, rota tecnica previsivel · cobre T1, T4"
34,Regione Valle d'Aosta — Agricoltura,BASE_OFICIAL,Regione Autonoma Valle d'Aosta,https://www.regione.vda.it/agricoltura/,T1;T4,VALLE D'AOSTA,93.0,5,"orgao agricola regional / politica agricola · e' o dono do dado, nao um intermediario · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · canal institucional do dono (o grupo tem 3 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, rota tecnica previsivel · cobre T1, T4"
35,ARPA Piemonte,BASE_OFICIAL,ARPA Piemonte,https://www.arpa.piemonte.it/home,T2;T12,PIEMONTE,92.2,3,"agrometeorologia / clima / ambiente regional · e' o dono do dado, nao um intermediario · canal institucional do dono (o grupo tem 3 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso · cobre T2, T12"
36,ARPA Puglia,BASE_OFICIAL,ARPA Puglia,https://www.arpa.puglia.it/,T2;T12,PUGLIA,92.2,3,"agrometeorologia / clima / ambiente regional · e' o dono do dado, nao um intermediario · dono com um unico canal nesta base: nao repete ninguem · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso · cobre T2, T12"
37,ARPACAL Calabria,BASE_OFICIAL,ARPACAL,https://www.arpacal.it/,T2;T12,CALABRIA,92.2,3,"agrometeorologia / clima / ambiente regional · e' o dono do dado, nao um intermediario · dono com um unico canal nesta base: nao repete ninguem · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso · cobre T2, T12"
38,Agrisicilia,IMPRENSA,Agrisicilia,https://www.agrisicilia.it/,T1;T10;T12,SICILIA,92.2,3,"agencia regional agricola · e' o dono do dado, nao um intermediario · dono com um unico canal nesta base: nao repete ninguem · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso · cobre T1, T10, T12"
39,Agrisole — Il Sole 24 Ore,IMPRENSA,Il Sole 24 Ore,https://www.ilsole24ore.com/,T10;T12,NAZIONALE,92.2,3,"agencia regional agricola · e' o dono do dado, nao um intermediario · canal institucional do dono (o grupo tem 2 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso · cobre T10, T12"
40,Fondazione Agrion — Fondazione per la ricerca l'innovazione e lo sviluppo tecnologico dell'agricoltura piemontese,CIENCIA,Fondazione Agrion,https://www.agrion.it/,T5;T3;T1,PIEMONTE,92.0,5,centro de investigacao aplicada / experimentacao · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · dono com um unico canal nesta base: nao repete ninguem · endereco CANONICAL,"sinal agricola denso, rota tecnica previsivel, feed declarado · cobre T5, T3, T1"
41,Fondazione Minoprio,ORGANIZACAO,Fondazione Minoprio,https://www.fondazioneminoprio.it/,T5;T7;T1,LOMBARDIA,92.0,5,centro de investigacao aplicada / experimentacao · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · canal institucional do dono (o grupo tem 4 canais) — e' onde vive o sinal tecnico · endereco CANONICAL,"sinal agricola denso, rota tecnica previsivel, feed declarado · cobre T5, T7, T1"
42,Fondazione per l'Agricoltura F.lli Navarra,CIENCIA,Fondazione Navarra,https://www.fondazionenavarra.it/,T5;T1,EMILIA-ROMAGNA,92.0,5,centro de investigacao aplicada / experimentacao · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · canal institucional do dono (o grupo tem 2 canais) — e' onde vive o sinal tecnico · endereco CANONICAL,"sinal agricola denso, rota tecnica previsivel, feed declarado · cobre T5, T1"
43,UNIBA DiSSPA — Dipartimento di Scienze del Suolo della Pianta e degli Alimenti,CIENCIA,Universita di Bari Aldo Moro,https://www.uniba.it/it/ricerca/dipartimenti/disspa,T5;T6;T3,PUGLIA,92.0,5,"universidade / departamento agrario · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-08-26 (19d) — publicacao muito recente) · rota tecnica previsivel (sinais de rota estruturada na pagina: API, OPENDATA) · canal institucional do dono (o grupo tem 2 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta, rota tecnica previsivel · cobre T5, T6, T3"
44,UNIPI DiSAAA-a — Dipartimento di Scienze Agrarie Alimentari e Agro-ambientali,CIENCIA,Universita di Pisa,https://www.agr.unipi.it/,T5;T6;T1,TOSCANA,92.0,5,"universidade / departamento agrario · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-09-14 (0d) — publicacao muito recente) · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · dono com um unico canal nesta base: nao repete ninguem · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta, rota tecnica previsivel · cobre T5, T6, T1"
45,Bulletin of Insectology,CIENCIA,Universita di Bologna,http://www.bulletinofinsectology.org/,T3;T5,EMILIA-ROMAGNA,91.1,5,"universidade / departamento agrario · e' o dono do dado, nao um intermediario · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · canal institucional do dono (o grupo tem 5 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, rota tecnica previsivel · cobre T3, T5"
46,CRPA — Centro Ricerche Produzioni Animali,CIENCIA,CRPA,https://www.crpa.it/,T5;T1,EMILIA-ROMAGNA,91.1,3,centro de investigacao aplicada / experimentacao · dono com um unico canal nesta base: nao repete ninguem · endereco CANONICAL,"sinal agricola denso · cobre T5, T1"
47,Libera Universita di Bolzano — Facolta di Scienze agrarie ambientali e alimentari,CIENCIA,Libera Universita di Bolzano,https://www.unibz.it/it/faculties/agricultural-environmental-food-sciences/,T5;T6;T1,TRENTINO-ALTO ADIGE,91.1,5,"universidade / departamento agrario · e' o dono do dado, nao um intermediario · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · canal institucional do dono (o grupo tem 3 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, rota tecnica previsivel · cobre T5, T6, T1"
48,UNITUS DAFNE — Dipartimento di Scienze Agrarie e Forestali,CIENCIA,Universita della Tuscia,https://www.unitus.it/dipartimenti/dafne/,T5;T6;T1,LAZIO,91.1,5,"universidade / departamento agrario · e' o dono do dado, nao um intermediario · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · dono com um unico canal nesta base: nao repete ninguem · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, rota tecnica previsivel · cobre T5, T6, T1"
49,ARTA Abruzzo,BASE_OFICIAL,ARTA Abruzzo,https://www.artaabruzzo.it/,T2;T12,ABRUZZO,91.0,4,"agrometeorologia / clima / ambiente regional · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-07-27 (49d)) · rota tecnica previsivel (publica boletins em PDF — formato previsivel) · canal institucional do dono (o grupo tem 2 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta, rota tecnica previsivel · cobre T2, T12"
50,Agrisole — quotidiano agricolo del Sole 24 Ore,IMPRENSA,Il Sole 24 Ore,https://www.agrisole.ilsole24ore.com/,T10;T12,NAZIONALE,91.0,3,"agencia regional agricola · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-09-14 (0d) — publicacao muito recente) · canal institucional do dono (o grupo tem 2 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta · cobre T10, T12"
51,CNR IBBR — Istituto di Bioscienze e Biorisorse,CIENCIA,CNR,https://www.ibbr.cnr.it/ibbr/,T5;T1,NAZIONALE,91.0,5,"instituto nacional de investigacao · e' o dono do dado, nao um intermediario · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · canal institucional do dono (o grupo tem 8 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, rota tecnica previsivel · cobre T5, T1"
52,Pianeta PSR,IMPRENSA,Rete Rurale Nazionale / MASAF,https://www.pianetapsr.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/1,T12;T10,NAZIONALE,91.0,3,"regulatorio / registro oficial · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-06-18 (88d)) · canal institucional do dono (o grupo tem 2 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta · cobre T12, T10"
53,ARPA Liguria,BASE_OFICIAL,ARPAL,https://www.arpal.liguria.it/,T2;T12,LIGURIA,90.0,3,"agrometeorologia / clima / ambiente regional · e' o dono do dado, nao um intermediario · canal institucional do dono (o grupo tem 4 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso · cobre T2, T12"
54,ARPA Valle d'Aosta,BASE_OFICIAL,ARPA Valle d'Aosta,https://www.arpa.vda.it/,T2;T12,VALLE D'AOSTA,90.0,3,"agrometeorologia / clima / ambiente regional · e' o dono do dado, nao um intermediario · canal institucional do dono (o grupo tem 3 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso · cobre T2, T12"
55,Assosementi,ORGANIZACAO,Assosementi,https://www.sementi.it/,T1;T10,NAZIONALE,90.0,5,"ente de filiera / mercado oficial · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-07-10 (66d)) · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · canal institucional do dono (o grupo tem 3 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta, rota tecnica previsivel, feed declarado · cobre T1, T10"
56,CNR ISPA — Istituto di Scienze delle Produzioni Alimentari,CIENCIA,CNR,https://www.ispa.cnr.it/,T3;T5,PUGLIA,90.0,3,"instituto nacional de investigacao · e' o dono do dado, nao um intermediario · canal institucional do dono (o grupo tem 8 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso · cobre T3, T5"
